Year,Revenue
1924,67
1925,70
1926,73
1927,56
1928,59
1929,63
1930,66
1931,69
1932,73
1933,76
1934,79
1935,83
1936,86
1937,90
1938,93
1939,97
1940,100
1941,104
1942,107
1943,111
1944,114
1945,118
1946,121
1947,105
1948,109
1949,112
1950,116
1951,119
1952,123
1953,126
1954,130
1955,134
1956,137
1957,141
1958,145
1959,148
1960,152
1961,155
1962,159
1963,163
1964,166
1965,170
1966,174
1967,157
1968,161
1969,165
1970,168
1971,172
1972,176
1973,179
1974,183
1975,187
1976,190
1977,194
1978,198
1979,201
1980,205
1981,209
1982,213
1983,216
1984,220
1985,224
1986,227
1987,211
1988,215
1989,219
1990,222
1991,414
1992,595
1993,776
1994,957
1995,1138
1996,1319
1997,1500
1998,1681
1999,1862
2000,2043
2001,2500
2002,2500
2003,2500
2004,2500
2005,2500
2006,2500
2007,2500
2008,2500
2009,2500
2010,2500
2011,2500
2012,2500
2013,2500
2014,2500
2015,2500
2016,2500
2017,2500
2018,2500
2019,2500
2020,2500
2021,2500
2022,2500
2023,2500
2024,2500
