Yr,Val
1924,122
1925,124
1926,127
1927,104
1928,107
1929,110
1930,112
1931,115
1932,118
1933,121
1934,123
1935,126
1936,129
1937,132
1938,134
1939,137
1940,140
1941,143
1942,146
1943,149
1944,151
1945,154
1946,157
1947,160
1948,163
1949,166
1950,168
1951,171
1952,149
1953,152
1954,155
1955,158
1956,161
1957,163
1958,166
1959,169
1960,172
1961,175
1962,178
1963,181
1964,184
1965,187
1966,189
1967,192
1968,195
1969,198
1970,201
1971,204
1972,207
1973,210
1974,213
1975,216
1976,219
1977,196
1978,199
1979,202
1980,205
1981,208
1982,211
1983,214
1984,217
1985,220
1986,223
1987,226
1988,229
1989,232
1990,235
1991,238
1992,240
1993,243
1994,246
1995,249
1996,252
1997,255
1998,258
1999,261
2000,264
2001,267
2002,245
2003,248
2004,251
2005,254
2006,257
2007,260
2008,263
2009,266
2010,269
2011,272
2012,275
2013,278
2014,281
2015,284
2016,287
2017,289
2018,292
2019,295
2020,298
2021,301
2022,304
2023,307
2024,310
