Yr,Val
1924,110
1925,112
1926,115
1927,117
1928,120
1929,123
1930,125
1931,128
1932,131
1933,134
1934,136
1935,139
1936,142
1937,145
1938,147
1939,125
1940,128
1941,131
1942,134
1943,137
1944,139
1945,142
1946,145
1947,148
1948,151
1949,154
1950,156
1951,159
1952,162
1953,165
1954,168
1955,171
1956,174
1957,176
1958,179
1959,182
1960,185
1961,188
1962,191
1963,194
1964,172
1965,175
1966,177
1967,180
1968,183
1969,186
1970,189
1971,192
1972,195
1973,198
1974,201
1975,204
1976,207
1977,209
1978,212
1979,215
1980,218
1981,221
1982,224
1983,227
1984,230
1985,233
1986,236
1987,239
1988,242
1989,220
1990,223
1991,226
1992,228
1993,231
1994,234
1995,237
1996,240
1997,243
1998,246
1999,249
2000,252
2001,255
2002,258
2003,261
2004,264
2005,267
2006,270
2007,273
2008,276
2009,279
2010,282
2011,285
2012,288
2013,291
2014,269
2015,272
2016,275
2017,277
2018,280
2019,283
2020,286
2021,289
2022,292
2023,295
2024,298
