Yr,Val
1924,52
1925,55
1926,58
1927,62
1928,65
1929,69
1930,73
1931,76
1932,80
1933,84
1934,88
1935,92
1936,96
1937,100
1938,104
1939,107
1940,93
1941,97
1942,101
1943,105
1944,109
1945,113
1946,117
1947,122
1948,126
1949,130
1950,134
1951,138
1952,142
1953,146
1954,150
1955,154
1956,158
1957,163
1958,149
1959,153
1960,157
1961,161
1962,165
1963,170
1964,174
1965,178
1966,182
1967,186
1968,191
1969,195
1970,199
1971,203
1972,207
1973,212
1974,216
1975,220
1976,206
1977,211
1978,215
1979,219
1980,224
1981,1800
1982,1800
1983,1800
1984,1800
1985,1800
1986,1800
1987,1800
1988,1800
1989,1800
1990,1800
1991,1806
1992,1809
1993,1812
1994,1814
1995,1817
1996,1820
1997,1823
1998,1826
1999,1829
2000,1832
2001,1835
2002,1838
2003,1841
2004,1844
2005,1847
2006,1850
2007,1853
2008,1834
2009,1837
2010,1840
2011,1843
2012,1846
2013,1849
2014,1852
2015,1855
2016,1858
2017,1861
2018,1864
2019,1867
2020,1870
2021,1873
2022,1877
2023,1880
2024,1883
