Yr,Sls
1924,66
1925,69
1926,73
1927,77
1928,61
1929,65
1930,69
1931,74
1932,78
1933,83
1934,87
1935,91
1936,96
1937,101
1938,105
1939,110
1940,114
1941,119
1942,124
1943,128
1944,133
1945,138
1946,142
1947,147
1948,132
1949,137
1950,142
1951,146
1952,151
1953,156
1954,161
1955,166
1956,171
1957,176
1958,180
1959,185
1960,190
1961,195
1962,200
1963,205
1964,210
1965,215
1966,220
1967,225
1968,210
1969,215
1970,220
1971,1500
1972,1500
1973,1500
1974,1500
1975,1500
1976,1500
1977,1500
1978,1500
1979,1500
1980,1506
1981,1508
1982,1511
1983,1514
1984,1517
1985,1520
1986,1523
1987,1526
1988,1529
1989,1533
1990,1536
1991,1539
1992,1542
1993,1545
1994,1548
1995,1551
1996,1555
1997,1558
1998,1561
1999,1539
2000,1542
2001,1546
2002,1549
2003,1552
2004,1555
2005,1558
2006,1562
2007,1565
2008,1568
2009,1571
2010,1575
2011,1578
2012,1581
2013,1584
2014,1588
2015,1591
2016,1594
2017,1597
2018,1601
2019,1604
2020,1607
2021,1610
2022,1614
2023,1617
2024,1595
