TinyYear,TinySales
1924,86
1925,89
1926,92
1927,96
1928,100
1929,103
1930,107
1931,111
1932,115
1933,119
1934,123
1935,127
1936,131
1937,135
1938,140
1939,144
1940,148
1941,152
1942,156
1943,136
1944,140
1945,144
1946,148
1947,153
1948,157
1949,161
1950,166
1951,170
1952,174
1953,179
1954,183
1955,188
1956,192
1957,196
1958,201
1959,205
1960,210
1961,214
1962,219
1963,223
1964,228
1965,232
1966,237
1967,241
1968,221
1969,225
1970,230
1971,234
1972,239
1973,244
1974,248
1975,253
1976,800
1977,800
1978,800
1979,800
1980,800
1981,800
1982,800
1983,800
1984,800
1985,800
1986,800
1987,800
1988,800
1989,800
1990,800
1991,800
1992,800
1993,800
1994,800
1995,800
1996,800
1997,800
1998,800
1999,800
2000,800
2001,800
2002,800
2003,800
2004,800
2005,800
2006,800
2007,800
2008,800
2009,800
2010,800
2011,800
2012,800
2013,800
2014,800
2015,800
2016,800
2017,800
2018,800
2019,800
2020,800
2021,800
2022,800
2023,800
2024,800
