Yr,Val
1924,123
1925,125
1926,103
1927,105
1928,108
1929,111
1930,113
1931,116
1932,119
1933,122
1934,124
1935,127
1936,130
1937,133
1938,135
1939,138
1940,141
1941,144
1942,147
1943,150
1944,152
1945,155
1946,158
1947,161
1948,164
1949,167
1950,169
1951,147
1952,150
1953,153
1954,156
1955,159
1956,162
1957,164
1958,167
1959,170
1960,173
1961,176
1962,179
1963,182
1964,185
1965,188
1966,190
1967,193
1968,196
1969,199
1970,202
1971,205
1972,208
1973,211
1974,214
1975,217
1976,195
1977,197
1978,200
1979,203
1980,206
1981,209
1982,212
1983,215
1984,218
1985,221
1986,224
1987,227
1988,230
1989,233
1990,236
1991,239
1992,241
1993,244
1994,247
1995,250
1996,253
1997,256
1998,259
1999,262
2000,265
2001,243
2002,246
2003,249
2004,252
2005,255
2006,258
2007,261
2008,264
2009,267
2010,270
2011,273
2012,276
2013,279
2014,282
2015,285
2016,288
2017,290
2018,293
2019,296
2020,299
2021,302
2022,305
2023,308
2024,311
