Year,Sales
1924,57
1925,60
1926,64
1927,68
1928,73
1929,77
1930,81
1931,85
1932,89
1933,94
1934,98
1935,102
1936,107
1937,91
1938,95
1939,100
1940,104
1941,108
1942,113
1943,117
1944,122
1945,126
1946,130
1947,135
1948,139
1949,144
1950,148
1951,153
1952,157
1953,162
1954,166
1955,171
1956,175
1957,160
1958,164
1959,169
1960,173
1961,1200
1962,1200
1963,1200
1964,1200
1965,1200
1966,1200
1967,1200
1968,1200
1969,1200
1970,1200
1971,1211
1972,1214
1973,1217
1974,1221
1975,1224
1976,1227
1977,1230
1978,1233
1979,1236
1980,1239
1981,1223
1982,1226
1983,1229
1984,1232
1985,1235
1986,1238
1987,1242
1988,1245
1989,1248
1990,1251
1991,1255
1992,1258
1993,1261
1994,1264
1995,1268
1996,1271
1997,1274
1998,1277
1999,1281
2000,1284
2001,1267
2002,1270
2003,1274
2004,1277
2005,1280
2006,1283
2007,1287
2008,1290
2009,1293
2010,1297
2011,1300
2012,1303
2013,1306
2014,1310
2015,1313
2016,1316
2017,1320
2018,1323
2019,1326
2020,1330
2021,1313
2022,1316
2023,1320
2024,1323
