TinyYear,TinySales
1924,88
1925,91
1926,94
1927,98
1928,102
1929,105
1930,109
1931,113
1932,117
1933,121
1934,125
1935,129
1936,133
1937,137
1938,142
1939,146
1940,150
1941,129
1942,133
1943,138
1944,142
1945,146
1946,150
1947,155
1948,159
1949,163
1950,168
1951,172
1952,176
1953,181
1954,185
1955,190
1956,194
1957,198
1958,203
1959,207
1960,212
1961,216
1962,221
1963,225
1964,230
1965,234
1966,214
1967,218
1968,223
1969,227
1970,232
1971,236
1972,241
1973,246
1974,250
1975,255
1976,800
1977,800
1978,800
1979,800
1980,800
1981,800
1982,800
1983,800
1984,800
1985,800
1986,800
1987,800
1988,800
1989,800
1990,800
1991,800
1992,800
1993,800
1994,800
1995,800
1996,800
1997,800
1998,800
1999,800
2000,800
2001,800
2002,800
2003,800
2004,800
2005,800
2006,800
2007,800
2008,800
2009,800
2010,800
2011,800
2012,800
2013,800
2014,800
2015,800
2016,800
2017,800
2018,800
2019,800
2020,800
2021,800
2022,800
2023,800
2024,800
