Yr,Sls
1924,64
1925,67
1926,71
1927,75
1928,61
1929,65
1930,70
1931,74
1932,78
1933,82
1934,87
1935,91
1936,96
1937,100
1938,104
1939,109
1940,113
1941,118
1942,122
1943,127
1944,132
1945,136
1946,123
1947,127
1948,132
1949,137
1950,141
1951,146
1952,151
1953,155
1954,160
1955,165
1956,169
1957,174
1958,179
1959,183
1960,188
1961,198
1962,199
1963,200
1964,201
1965,202
1966,173
1967,174
1968,175
1969,176
1970,177
1971,208
1972,191
1973,194
1974,197
1975,200
1976,203
1977,206
1978,209
1979,212
1980,215
1981,218
1982,221
1983,224
1984,227
1985,230
1986,233
1987,236
1988,239
1989,242
1990,245
1991,248
1992,231
1993,234
1994,237
1995,240
1996,244
1997,247
1998,250
1999,253
2000,256
2001,259
2002,262
2003,265
2004,268
2005,272
2006,275
2007,278
2008,281
2009,284
2010,287
2011,290
2012,274
2013,277
2014,280
2015,283
2016,286
2017,289
2018,293
2019,296
2020,299
2021,302
2022,305
2023,308
2024,312
