Yr,Val
1924,62
1925,65
1926,68
1927,72
1928,75
1929,79
1930,65
1931,68
1932,72
1933,76
1934,80
1935,84
1936,88
1937,92
1938,96
1939,99
1940,103
1941,107
1942,111
1943,115
1944,119
1945,123
1946,127
1947,132
1948,118
1949,122
1950,126
1951,130
1952,134
1953,138
1954,142
1955,146
1956,150
1957,155
1958,159
1959,163
1960,167
1961,171
1962,175
1963,180
1964,184
1965,188
1966,174
1967,178
1968,183
1969,187
1970,191
1971,195
1972,199
1973,204
1974,208
1975,212
1976,216
1977,221
1978,225
1979,229
1980,234
1981,1800
1982,1800
1983,1800
1984,1800
1985,1800
1986,1800
1987,1800
1988,1800
1989,1800
1990,1800
1991,1814
1992,1817
1993,1820
1994,1822
1995,1825
1996,1828
1997,1831
1998,1834
1999,1837
2000,1818
2001,1821
2002,1824
2003,1827
2004,1830
2005,1833
2006,1836
2007,1839
2008,1842
2009,1845
2010,1848
2011,1851
2012,1854
2013,1857
2014,1860
2015,1863
2016,1866
2017,1869
2018,1872
2019,1875
2020,1878
2021,1881
2022,1863
2023,1866
2024,1869
