Yr,Sls
1924,68
1925,71
1926,74
1927,78
1928,82
1929,86
1930,89
1931,93
1932,97
1933,101
1934,86
1935,90
1936,94
1937,98
1938,102
1939,106
1940,110
1941,114
1942,117
1943,121
1944,125
1945,129
1946,133
1947,137
1948,141
1949,145
1950,149
1951,153
1952,139
1953,143
1954,147
1955,151
1956,1000
1957,1000
1958,1000
1959,1000
1960,1000
1961,1000
1962,1000
1963,1000
1964,1000
1965,1000
1966,1010
1967,1013
1968,1016
1969,1020
1970,1023
1971,1027
1972,1031
1973,1034
1974,1038
1975,1042
1976,1100
1977,1100
1978,1100
1979,1100
1980,1100
1981,1100
1982,1100
1983,1100
1984,1100
1985,1100
1986,1101
1987,1104
1988,1107
1989,1110
1990,1113
1991,1116
1992,1119
1993,1122
1994,1125
1995,1128
1996,1131
1997,1134
1998,1137
1999,1141
2000,1144
2001,1147
2002,1150
2003,1153
2004,1156
2005,1159
2006,1142
2007,1145
2008,1148
2009,1152
2010,1155
2011,1158
2012,1161
2013,1164
2014,1167
2015,1170
2016,1174
2017,1177
2018,1180
2019,1183
2020,1186
2021,1189
2022,1192
2023,1196
2024,1199
