Yr,Val
1924,66
1925,69
1926,54
1927,58
1928,61
1929,65
1930,69
1931,72
1932,76
1933,80
1934,84
1935,88
1936,92
1937,96
1938,100
1939,103
1940,107
1941,111
1942,115
1943,119
1944,105
1945,109
1946,113
1947,118
1948,122
1949,126
1950,130
1951,134
1952,138
1953,142
1954,146
1955,150
1956,154
1957,159
1958,163
1959,167
1960,171
1961,175
1962,161
1963,166
1964,170
1965,174
1966,178
1967,182
1968,187
1969,191
1970,195
1971,199
1972,203
1973,208
1974,212
1975,216
1976,220
1977,225
1978,229
1979,233
1980,220
1981,1800
1982,1800
1983,1800
1984,1800
1985,1800
1986,1800
1987,1800
1988,1800
1989,1800
1990,1800
1991,1810
1992,1813
1993,1816
1994,1818
1995,1821
1996,1824
1997,1827
1998,1830
1999,1833
2000,1836
2001,1839
2002,1842
2003,1845
2004,1826
2005,1829
2006,1832
2007,1835
2008,1838
2009,1841
2010,1844
2011,1847
2012,1850
2013,1853
2014,1856
2015,1859
2016,1862
2017,1865
2018,1868
2019,1871
2020,1874
2021,1877
2022,1881
2023,1884
2024,1887
