Yr,Sls
1924,72
1925,75
1926,78
1927,82
1928,86
1929,90
1930,75
1931,79
1932,83
1933,87
1934,90
1935,94
1936,98
1937,102
1938,106
1939,110
1940,114
1941,118
1942,121
1943,125
1944,129
1945,133
1946,137
1947,141
1948,127
1949,131
1950,135
1951,139
1952,143
1953,147
1954,151
1955,155
1956,1000
1957,1000
1958,1000
1959,1000
1960,1000
1961,1000
1962,1000
1963,1000
1964,1000
1965,1000
1966,1010
1967,1013
1968,1016
1969,1020
1970,1023
1971,1027
1972,1031
1973,1034
1974,1038
1975,1042
1976,1100
1977,1100
1978,1100
1979,1100
1980,1100
1981,1100
1982,1100
1983,1100
1984,1100
1985,1100
1986,1113
1987,1116
1988,1119
1989,1122
1990,1125
1991,1128
1992,1131
1993,1134
1994,1117
1995,1120
1996,1123
1997,1126
1998,1129
1999,1133
2000,1136
2001,1139
2002,1142
2003,1145
2004,1148
2005,1151
2006,1154
2007,1157
2008,1160
2009,1164
2010,1167
2011,1170
2012,1173
2013,1176
2014,1159
2015,1162
2016,1166
2017,1169
2018,1172
2019,1175
2020,1178
2021,1181
2022,1184
2023,1188
2024,1191
