Yr,Sls
1924,66
1925,69
1926,55
1927,59
1928,63
1929,67
1930,72
1931,76
1932,80
1933,84
1934,89
1935,93
1936,98
1937,102
1938,106
1939,111
1940,115
1941,120
1942,124
1943,129
1944,116
1945,120
1946,125
1947,129
1948,134
1949,139
1950,143
1951,148
1952,153
1953,157
1954,162
1955,167
1956,171
1957,176
1958,181
1959,185
1960,190
1961,192
1962,193
1963,194
1964,195
1965,196
1966,197
1967,198
1968,199
1969,200
1970,201
1971,194
1972,197
1973,200
1974,203
1975,206
1976,209
1977,212
1978,215
1979,218
1980,221
1981,224
1982,227
1983,230
1984,233
1985,236
1986,239
1987,242
1988,225
1989,228
1990,231
1991,234
1992,237
1993,240
1994,243
1995,246
1996,250
1997,253
1998,256
1999,259
2000,262
2001,265
2002,268
2003,271
2004,274
2005,278
2006,281
2007,284
2008,267
2009,270
2010,273
2011,276
2012,280
2013,283
2014,286
2015,289
2016,292
2017,295
2018,299
2019,302
2020,305
2021,308
2022,311
2023,314
2024,318
