Yr,Sls
1924,62
1925,65
1926,69
1927,73
1928,77
1929,81
1930,85
1931,90
1932,74
1933,79
1934,83
1935,87
1936,92
1937,97
1938,101
1939,106
1940,110
1941,115
1942,120
1943,124
1944,129
1945,134
1946,138
1947,143
1948,148
1949,153
1950,158
1951,162
1952,147
1953,152
1954,157
1955,162
1956,167
1957,172
1958,176
1959,181
1960,186
1961,191
1962,196
1963,201
1964,206
1965,211
1966,216
1967,221
1968,226
1969,231
1970,236
1971,1500
1972,1500
1973,1500
1974,1500
1975,1500
1976,1500
1977,1500
1978,1500
1979,1500
1980,1519
1981,1521
1982,1524
1983,1527
1984,1530
1985,1533
1986,1511
1987,1514
1988,1517
1989,1521
1990,1524
1991,1527
1992,1530
1993,1533
1994,1536
1995,1539
1996,1543
1997,1546
1998,1549
1999,1552
2000,1555
2001,1559
2002,1562
2003,1565
2004,1568
2005,1571
2006,1575
2007,1578
2008,1581
2009,1584
2010,1588
2011,1566
2012,1569
2013,1572
2014,1576
2015,1579
2016,1582
2017,1585
2018,1589
2019,1592
2020,1595
2021,1598
2022,1602
2023,1605
2024,1608
