Year,Revenue
1924,63
1925,66
1926,69
1927,72
1928,75
1929,79
1930,82
1931,65
1932,69
1933,72
1934,75
1935,79
1936,82
1937,86
1938,89
1939,93
1940,96
1941,100
1942,103
1943,107
1944,110
1945,114
1946,117
1947,121
1948,125
1949,128
1950,132
1951,115
1952,119
1953,122
1954,126
1955,130
1956,133
1957,137
1958,141
1959,144
1960,148
1961,151
1962,155
1963,159
1964,162
1965,166
1966,170
1967,173
1968,177
1969,181
1970,184
1971,168
1972,172
1973,175
1974,179
1975,183
1976,186
1977,190
1978,194
1979,197
1980,201
1981,205
1982,209
1983,212
1984,216
1985,220
1986,223
1987,227
1988,231
1989,235
1990,238
1991,422
1992,603
1993,784
1994,965
1995,1146
1996,1327
1997,1508
1998,1689
1999,1870
2000,2051
2001,2500
2002,2500
2003,2500
2004,2500
2005,2500
2006,2500
2007,2500
2008,2500
2009,2500
2010,2500
2011,2500
2012,2500
2013,2500
2014,2500
2015,2500
2016,2500
2017,2500
2018,2500
2019,2500
2020,2500
2021,2500
2022,2500
2023,2500
2024,2500
