Yr,Sls
1924,56
1925,59
1926,63
1927,67
1928,71
1929,75
1930,80
1931,84
1932,88
1933,92
1934,97
1935,101
1936,88
1937,92
1938,96
1939,101
1940,105
1941,110
1942,114
1943,119
1944,124
1945,128
1946,133
1947,137
1948,142
1949,147
1950,151
1951,156
1952,161
1953,165
1954,152
1955,157
1956,161
1957,166
1958,171
1959,175
1960,180
1961,180
1962,181
1963,182
1964,183
1965,184
1966,185
1967,186
1968,187
1969,188
1970,189
1971,200
1972,183
1973,186
1974,189
1975,192
1976,195
1977,198
1978,201
1979,204
1980,207
1981,210
1982,213
1983,216
1984,219
1985,222
1986,225
1987,228
1988,231
1989,234
1990,237
1991,240
1992,223
1993,226
1994,229
1995,232
1996,236
1997,239
1998,242
1999,245
2000,248
2001,251
2002,254
2003,257
2004,260
2005,264
2006,267
2007,270
2008,273
2009,276
2010,279
2011,282
2012,266
2013,269
2014,272
2015,275
2016,278
2017,281
2018,285
2019,288
2020,291
2021,294
2022,297
2023,300
2024,304
