Yr,Sls
1924,64
1925,67
1926,70
1927,74
1928,78
1929,82
1930,85
1931,89
1932,93
1933,97
1934,100
1935,104
1936,108
1937,112
1938,98
1939,102
1940,106
1941,110
1942,113
1943,117
1944,121
1945,125
1946,129
1947,133
1948,137
1949,141
1950,145
1951,149
1952,153
1953,157
1954,161
1955,165
1956,1000
1957,1000
1958,1000
1959,1000
1960,1000
1961,1000
1962,1000
1963,1000
1964,1000
1965,1000
1966,1010
1967,1013
1968,1016
1969,1020
1970,1023
1971,1027
1972,1031
1973,1034
1974,1038
1975,1042
1976,1100
1977,1100
1978,1100
1979,1100
1980,1100
1981,1100
1982,1100
1983,1100
1984,1100
1985,1100
1986,1109
1987,1112
1988,1115
1989,1118
1990,1121
1991,1124
1992,1127
1993,1130
1994,1133
1995,1136
1996,1139
1997,1142
1998,1125
1999,1129
2000,1132
2001,1135
2002,1138
2003,1141
2004,1144
2005,1147
2006,1150
2007,1153
2008,1156
2009,1160
2010,1163
2011,1166
2012,1169
2013,1172
2014,1175
2015,1178
2016,1182
2017,1185
2018,1168
2019,1171
2020,1174
2021,1177
2022,1180
2023,1184
2024,1187
