Year,Revenue
1924,55
1925,58
1926,61
1927,64
1928,67
1929,71
1930,74
1931,77
1932,81
1933,84
1934,87
1935,91
1936,94
1937,98
1938,101
1939,85
1940,88
1941,92
1942,95
1943,99
1944,102
1945,106
1946,109
1947,113
1948,117
1949,120
1950,124
1951,127
1952,131
1953,134
1954,138
1955,142
1956,145
1957,149
1958,153
1959,136
1960,140
1961,143
1962,147
1963,151
1964,154
1965,158
1966,162
1967,165
1968,169
1969,173
1970,176
1971,180
1972,184
1973,187
1974,191
1975,195
1976,198
1977,202
1978,206
1979,189
1980,193
1981,197
1982,201
1983,204
1984,208
1985,212
1986,215
1987,219
1988,223
1989,227
1990,230
1991,413
1992,594
1993,775
1994,956
1995,1137
1996,1318
1997,1499
1998,1680
1999,1861
2000,2042
2001,2500
2002,2500
2003,2500
2004,2500
2005,2500
2006,2500
2007,2500
2008,2500
2009,2500
2010,2500
2011,2500
2012,2500
2013,2500
2014,2500
2015,2500
2016,2500
2017,2500
2018,2500
2019,2500
2020,2500
2021,2500
2022,2500
2023,2500
2024,2500
