Yr,Val
1924,58
1925,61
1926,64
1927,68
1928,71
1929,75
1930,79
1931,82
1932,86
1933,90
1934,76
1935,80
1936,84
1937,88
1938,92
1939,95
1940,99
1941,103
1942,107
1943,111
1944,115
1945,119
1946,123
1947,128
1948,132
1949,136
1950,140
1951,144
1952,130
1953,134
1954,138
1955,142
1956,146
1957,151
1958,155
1959,159
1960,163
1961,167
1962,171
1963,176
1964,180
1965,184
1966,188
1967,192
1968,197
1969,201
1970,187
1971,191
1972,195
1973,200
1974,204
1975,208
1976,212
1977,217
1978,221
1979,225
1980,230
1981,1800
1982,1800
1983,1800
1984,1800
1985,1800
1986,1800
1987,1800
1988,1800
1989,1800
1990,1800
1991,1818
1992,1821
1993,1824
1994,1826
1995,1829
1996,1810
1997,1813
1998,1816
1999,1819
2000,1822
2001,1825
2002,1828
2003,1831
2004,1834
2005,1837
2006,1840
2007,1843
2008,1846
2009,1849
2010,1852
2011,1855
2012,1858
2013,1861
2014,1864
2015,1867
2016,1870
2017,1873
2018,1854
2019,1857
2020,1860
2021,1863
2022,1867
2023,1870
2024,1873
