Yr,Sls
1924,54
1925,57
1926,61
1927,65
1928,69
1929,73
1930,77
1931,82
1932,86
1933,91
1934,95
1935,99
1936,104
1937,109
1938,113
1939,118
1940,102
1941,107
1942,112
1943,116
1944,121
1945,126
1946,130
1947,135
1948,140
1949,145
1950,150
1951,154
1952,159
1953,164
1954,169
1955,174
1956,179
1957,184
1958,188
1959,193
1960,178
1961,183
1962,188
1963,193
1964,198
1965,203
1966,208
1967,213
1968,218
1969,223
1970,228
1971,1500
1972,1500
1973,1500
1974,1500
1975,1500
1976,1500
1977,1500
1978,1500
1979,1500
1980,1520
1981,1522
1982,1525
1983,1528
1984,1531
1985,1509
1986,1512
1987,1515
1988,1518
1989,1522
1990,1525
1991,1528
1992,1531
1993,1534
1994,1537
1995,1540
1996,1544
1997,1547
1998,1550
1999,1553
2000,1556
2001,1560
2002,1563
2003,1566
2004,1569
2005,1572
2006,1576
2007,1579
2008,1582
2009,1585
2010,1564
2011,1567
2012,1570
2013,1573
2014,1577
2015,1580
2016,1583
2017,1586
2018,1590
2019,1593
2020,1596
2021,1599
2022,1603
2023,1606
2024,1609
