TinyYear,TinySales
1924,96
1925,99
1926,102
1927,106
1928,110
1929,113
1930,117
1931,121
1932,125
1933,104
1934,108
1935,112
1936,116
1937,120
1938,125
1939,129
1940,133
1941,137
1942,141
1943,146
1944,150
1945,154
1946,158
1947,163
1948,167
1949,171
1950,176
1951,180
1952,184
1953,189
1954,193
1955,198
1956,202
1957,206
1958,186
1959,190
1960,195
1961,199
1962,204
1963,208
1964,213
1965,217
1966,222
1967,226
1968,231
1969,235
1970,240
1971,244
1972,249
1973,254
1974,258
1975,263
1976,800
1977,800
1978,800
1979,800
1980,800
1981,800
1982,800
1983,800
1984,800
1985,800
1986,800
1987,800
1988,800
1989,800
1990,800
1991,800
1992,800
1993,800
1994,800
1995,800
1996,800
1997,800
1998,800
1999,800
2000,800
2001,800
2002,800
2003,800
2004,800
2005,800
2006,800
2007,800
2008,800
2009,800
2010,800
2011,800
2012,800
2013,800
2014,800
2015,800
2016,800
2017,800
2018,800
2019,800
2020,800
2021,800
2022,800
2023,800
2024,800
