Yr,Val
1924,56
1925,59
1926,62
1927,66
1928,69
1929,73
1930,77
1931,80
1932,84
1933,88
1934,92
1935,96
1936,82
1937,86
1938,90
1939,93
1940,97
1941,101
1942,105
1943,109
1944,113
1945,117
1946,121
1947,126
1948,130
1949,134
1950,138
1951,142
1952,146
1953,150
1954,136
1955,140
1956,144
1957,149
1958,153
1959,157
1960,161
1961,165
1962,169
1963,174
1964,178
1965,182
1966,186
1967,190
1968,195
1969,199
1970,203
1971,207
1972,193
1973,198
1974,202
1975,206
1976,210
1977,215
1978,219
1979,223
1980,228
1981,1800
1982,1800
1983,1800
1984,1800
1985,1800
1986,1800
1987,1800
1988,1800
1989,1800
1990,1800
1991,1802
1992,1805
1993,1808
1994,1810
1995,1813
1996,1816
1997,1819
1998,1822
1999,1825
2000,1828
2001,1831
2002,1834
2003,1837
2004,1840
2005,1843
2006,1846
2007,1849
2008,1852
2009,1855
2010,1858
2011,1861
2012,1842
2013,1845
2014,1848
2015,1851
2016,1854
2017,1857
2018,1860
2019,1863
2020,1866
2021,1869
2022,1873
2023,1876
2024,1879
