Year,Sales
1924,53
1925,56
1926,60
1927,64
1928,69
1929,73
1930,77
1931,81
1932,85
1933,90
1934,94
1935,98
1936,103
1937,107
1938,111
1939,116
1940,120
1941,104
1942,109
1943,113
1944,118
1945,122
1946,126
1947,131
1948,135
1949,140
1950,144
1951,149
1952,153
1953,158
1954,162
1955,167
1956,171
1957,176
1958,180
1959,185
1960,189
1961,1200
1962,1200
1963,1200
1964,1200
1965,1200
1966,1200
1967,1200
1968,1200
1969,1200
1970,1200
1971,1219
1972,1222
1973,1205
1974,1209
1975,1212
1976,1215
1977,1218
1978,1221
1979,1224
1980,1227
1981,1231
1982,1234
1983,1237
1984,1240
1985,1243
1986,1246
1987,1250
1988,1253
1989,1256
1990,1259
1991,1263
1992,1266
1993,1249
1994,1252
1995,1256
1996,1259
1997,1262
1998,1265
1999,1269
2000,1272
2001,1275
2002,1278
2003,1282
2004,1285
2005,1288
2006,1291
2007,1295
2008,1298
2009,1301
2010,1305
2011,1308
2012,1311
2013,1294
2014,1298
2015,1301
2016,1304
2017,1308
2018,1311
2019,1314
2020,1318
2021,1321
2022,1324
2023,1328
2024,1331
