Year,Revenue
1924,51
1925,54
1926,57
1927,60
1928,63
1929,67
1930,70
1931,73
1932,77
1933,80
1934,83
1935,87
1936,90
1937,94
1938,97
1939,101
1940,104
1941,108
1942,111
1943,95
1944,98
1945,102
1946,105
1947,109
1948,113
1949,116
1950,120
1951,123
1952,127
1953,130
1954,134
1955,138
1956,141
1957,145
1958,149
1959,152
1960,156
1961,159
1962,163
1963,147
1964,150
1965,154
1966,158
1967,161
1968,165
1969,169
1970,172
1971,176
1972,180
1973,183
1974,187
1975,191
1976,194
1977,198
1978,202
1979,205
1980,209
1981,213
1982,217
1983,200
1984,204
1985,208
1986,211
1987,215
1988,219
1989,223
1990,226
1991,426
1992,607
1993,788
1994,969
1995,1150
1996,1306
1997,1487
1998,1668
1999,1849
2000,2030
2001,2500
2002,2500
2003,2500
2004,2500
2005,2500
2006,2500
2007,2500
2008,2500
2009,2500
2010,2500
2011,2500
2012,2500
2013,2500
2014,2500
2015,2500
2016,2500
2017,2500
2018,2500
2019,2500
2020,2500
2021,2500
2022,2500
2023,2500
2024,2500
