Yr,Sls
1924,50
1925,53
1926,57
1927,61
1928,65
1929,69
1930,73
1931,78
1932,82
1933,87
1934,91
1935,95
1936,100
1937,105
1938,109
1939,114
1940,118
1941,123
1942,128
1943,132
1944,117
1945,122
1946,126
1947,131
1948,136
1949,141
1950,146
1951,150
1952,155
1953,160
1954,165
1955,170
1956,175
1957,180
1958,184
1959,189
1960,194
1961,199
1962,204
1963,209
1964,194
1965,199
1966,204
1967,209
1968,214
1969,219
1970,224
1971,1500
1972,1500
1973,1500
1974,1500
1975,1500
1976,1500
1977,1500
1978,1500
1979,1500
1980,1518
1981,1520
1982,1523
1983,1526
1984,1529
1985,1532
1986,1535
1987,1513
1988,1516
1989,1520
1990,1523
1991,1526
1992,1529
1993,1532
1994,1535
1995,1538
1996,1542
1997,1545
1998,1548
1999,1551
2000,1554
2001,1558
2002,1561
2003,1564
2004,1567
2005,1570
2006,1574
2007,1577
2008,1580
2009,1583
2010,1587
2011,1590
2012,1568
2013,1571
2014,1575
2015,1578
2016,1581
2017,1584
2018,1588
2019,1591
2020,1594
2021,1597
2022,1601
2023,1604
2024,1607
