TinyYear,TinySales
1924,92
1925,95
1926,98
1927,102
1928,106
1929,109
1930,113
1931,117
1932,121
1933,125
1934,129
1935,133
1936,137
1937,116
1938,121
1939,125
1940,129
1941,133
1942,137
1943,142
1944,146
1945,150
1946,154
1947,159
1948,163
1949,167
1950,172
1951,176
1952,180
1953,185
1954,189
1955,194
1956,198
1957,202
1958,207
1959,211
1960,216
1961,220
1962,200
1963,204
1964,209
1965,213
1966,218
1967,222
1968,227
1969,231
1970,236
1971,240
1972,245
1973,250
1974,254
1975,259
1976,800
1977,800
1978,800
1979,800
1980,800
1981,800
1982,800
1983,800
1984,800
1985,800
1986,800
1987,800
1988,800
1989,800
1990,800
1991,800
1992,800
1993,800
1994,800
1995,800
1996,800
1997,800
1998,800
1999,800
2000,800
2001,800
2002,800
2003,800
2004,800
2005,800
2006,800
2007,800
2008,800
2009,800
2010,800
2011,800
2012,800
2013,800
2014,800
2015,800
2016,800
2017,800
2018,800
2019,800
2020,800
2021,800
2022,800
2023,800
2024,800
