region_index,income,sector
4.7284,18.858,Tech
4.8459,22.187,Services
5.7084,29.755,Tech
4.6474,18.16,Agriculture
2.4041,18.845,Tech
5.4306,20.347,Tech
9.3997,29.519,Services
5.5332,23.299,Services
3.635,17.406,Agriculture
7.0985,6.1866,Agriculture
5.9538,18.229,Tech
3.6265,19.222,Tech
1.3683,20.811,Services
9.1052,16.271,Tech
0.3826,16.896,Tech
8.1263,23.2,Services
4.3974,17.153,Agriculture
4.1166,6.2243,Manufacturing
8.8321,27.331,Services
6.6584,4.246,Manufacturing
2.4054,9.5262,Agriculture
1.2207,11.026,Services
3.0927,3.2016,Manufacturing
2.7925,14.527,Agriculture
9.8597,2.5123,Services
0.51642,23.17,Services
9.5921,26.26,Services
3.7115,10.958,Services
1.2254,29.542,Manufacturing
4.8654,10.006,Tech
9.5426,3.011,Services
1.6592,4.0536,Manufacturing
2.9934,29.32,Tech
1.1444,28.304,Manufacturing
3.2534,18.449,Manufacturing
2.0309,18.878,Agriculture
3.465,22.222,Agriculture
4.6757,9.1178,Agriculture
8.8677,16.987,Tech
7.8753,11.189,Agriculture
1.7132,17.681,Tech
2.7504,6.0198,Tech
9.5048,16.956,Tech
4.1527,18.416,Tech
3.3493,18.198,Services
1.5185,6.8437,Agriculture
0.88701,26.137,Services
9.4377,2.7522,Agriculture
3.0357,9.4903,Services
2.3612,25.996,Services
1.4852,11.601,Manufacturing
2.8206,20.886,Services
8.8821,15.166,Tech
8.8457,14.501,Agriculture
3.8942,9.2211,Services
7.5816,22.03,Manufacturing
2.6909,18.128,Tech
1.7897,0.61146,Agriculture
4.3383,17.635,Tech
7.9059,5.0053,Agriculture
6.6722,0.47059,Agriculture
2.8447,11.522,Services
1.4267,13.752,Manufacturing
0.67398,26.313,Agriculture
8.201,10.025,Agriculture
3.5326,16.39,Tech
9.027,29.906,Services
2.9492,18.2,Tech
7.9163,28.874,Manufacturing
9.5584,0.94576,Agriculture
0.19458,26.008,Manufacturing
0.30696,1.8819,Services
1.1634,13.209,Services
2.8949,10.418,Services
0.13926,17.729,Services
8.4142,16.789,Tech
2.4059,26.072,Agriculture
4.8682,16.6,Tech
0.60703,24.476,Services
0.46824,2.8453,Manufacturing
5.9544,25.775,Services
3.4966,18.87,Tech
3.4046,26.988,Services
6.4949,5.6985,Services
7.2357,17.834,Manufacturing
3.9058,20.676,Agriculture
0.96013,24.995,Manufacturing
9.799,28.325,Manufacturing
4.7792,14.856,Services
9.3315,16.33,Tech
9.0947,14.756,Agriculture
0.2887,23.757,Services
6.0429,1.6668,Tech
6.1303,20.313,Agriculture
1.5375,19.316,Tech
1.7636,29.882,Services
4.0804,2.1073,Services
1.0005,23.44,Agriculture
7.7591,24.525,Manufacturing
7.4765,0.42359,Agriculture
9.1027,16.814,Tech
6.9564,0.43627,Manufacturing
0.25963,25.917,Services
0.52777,16.053,Agriculture
5.0771,20.9,Manufacturing
6.61,5.8957,Manufacturing
6.2515,1.9004,Agriculture
3.3548,2.9481,Manufacturing
1.333,20.934,Manufacturing
4.4748,18.688,Tech
0.44984,18.536,Tech
3.6689,21.361,Services
4.9099,10.446,Services
6.4861,19.421,Agriculture
7.579,9.11,Agriculture
7.6275,18.966,Manufacturing
1.09,20.753,Agriculture
9.8765,1.2634,Services
1.8668,23.619,Manufacturing
0.081303,28.646,Services
5.0677,21.74,Services
7.7457,17.683,Tech
8.3552,13.244,Agriculture
5.3828,6.1835,Services
5.7526,16.725,Tech
6.0782,2.5659,Services
2.2232,5.9857,Manufacturing
1.965,17.332,Tech
9.3272,25.532,Services
5.5014,0.81693,Manufacturing
2.7028,16.428,Tech
5.1178,15.705,Services
7.3381,15.43,Services
6.2849,11.141,Services
4.6445,18.737,Manufacturing
9.0987,16.12,Manufacturing
4.6842,5.3319,Agriculture
