month,humidity,season
8.6702,17.09,Winter
5.6016,7.6457,Fall
5.1682,2.7694,Fall
1.6497,17.408,Summer
1.7163,7.0354,Fall
7.7446,0.5389,Fall
6.3533,14.067,Fall
6.0658,11.425,Spring
1.092,5.8761,Spring
7.3031,2.2235,Winter
7.0365,21.242,Summer
6.8141,10.033,Fall
6.9323,5.1668,Fall
5.0253,16.121,Spring
5.908,12.33,Fall
7.4229,20.177,Fall
0.17693,10.136,Winter
1.6445,23.789,Winter
8.9259,11.649,Summer
8.2605,12.032,Summer
0.85113,13.547,Spring
3.6772,3.5634,Summer
6.6739,16.478,Winter
7.3932,28.353,Summer
4.9,7.9531,Winter
8.8696,4.8014,Winter
6.0045,17.515,Spring
8.6351,19.561,Summer
8.1775,4.6291,Summer
1.8651,1.0956,Fall
4.7213,3.3077,Spring
2.1234,24.216,Winter
1.9553,16.884,Winter
9.1759,24.174,Winter
9.5742,27.744,Winter
4.0396,20.159,Summer
9.7985,7.9744,Spring
7.238,27.275,Winter
6.2171,2.2378,Fall
0.67378,12.211,Winter
9.0005,5.9481,Spring
8.6423,2.3791,Winter
6.2597,17.073,Winter
5.7272,27.654,Spring
5.1357,16.081,Winter
6.9058,5.2797,Summer
8.7367,19.637,Winter
5.2667,2.778,Winter
6.1512,1.0963,Fall
8.6232,9.2542,Winter
2.7381,18.924,Winter
7.5774,16.442,Fall
5.675,13.565,Fall
8.6536,5.9289,Fall
9.2063,20.155,Summer
6.897,2.3884,Winter
6.408,20.261,Winter
6.0674,24.166,Winter
7.6494,14.272,Fall
4.6443,11.284,Summer
5.9961,8.1918,Summer
0.58309,17.781,Summer
7.3643,6.2026,Fall
8.3565,3.515,Spring
8.6587,19.269,Fall
3.7169,0.067654,Winter
6.3309,2.7925,Spring
9.3982,7.3872,Spring
0.62969,9.6851,Fall
5.9576,19.846,Fall
9.0898,0.41893,Fall
3.325,4.899,Spring
9.3226,1.1224,Spring
6.5483,11.771,Spring
1.4386,5.9643,Spring
4.8331,6.7768,Winter
4.4415,4.2889,Winter
2.4959,13.386,Fall
0.63679,3.117,Fall
4.7412,19.748,Fall
9.4504,2.91,Winter
5.23,9.6164,Summer
0.028369,1.8397,Spring
2.5741,14.669,Winter
9.6238,29.882,Spring
9.8689,25.474,Winter
8.691,13.604,Winter
4.19,27.253,Spring
6.2251,19.562,Spring
4.9293,14.287,Summer
9.8534,9.1919,Winter
4.1665,25.861,Spring
3.4324,17.304,Fall
9.5608,0.73067,Winter
8.7318,4.5844,Fall
3.3871,2.7712,Fall
4.9151,0.9698,Summer
8.2182,20.969,Winter
3.9292,10.91,Winter
8.1002,20.804,Fall
8.1669,8.4626,Fall
1.0412,15.21,Winter
2.7116,27.32,Spring
5.216,14.643,Summer
1.062,21.085,Winter
1.2742,19.976,Fall
9.9522,15.331,Summer
2.7992,10.645,Winter
6.2713,23.419,Spring
5.8578,6.9609,Summer
8.2171,19.357,Fall
5.7082,27.108,Summer
6.8632,13.33,Summer
8.4843,18.029,Summer
9.8358,11.724,Winter
1.8251,11.219,Winter
6.4969,11.626,Winter
3.5758,8.1458,Summer
1.399,21.056,Fall
9.6884,7.454,Spring
4.1798,2.3959,Spring
2.5392,2.7488,Spring
9.0833,10.381,Winter
9.6812,10.25,Spring
9.7671,21.591,Spring
0.66763,21.606,Spring
7.5399,4.0755,Summer
1.0544,16.202,Fall
2.8549,16.802,Spring
5.222,4.9459,Summer
7.5056,9.0003,Fall
4.9718,26.444,Summer
2.5409,20.842,Fall
8.1726,22.659,Spring
0.60459,9.968,Winter
0.75798,3.0631,Summer
8.7126,20.544,Summer
1.8287,8.2911,Summer
6.8569,19.459,Summer
7.8669,17.871,Summer
4.8727,5.1386,Spring
9.1272,1.944,Spring
7.6376,16.332,Fall
2.7305,13.296,Fall
5.4778,21.952,Winter
6.9063,17.403,Winter
1.7128,11.484,Spring
7.7136,26.247,Winter
1.8868,28.701,Spring
8.9008,0.19974,Summer
8.3355,17.155,Spring
7.8321,17.835,Summer
4.8843,25.365,Winter
6.228,3.8406,Winter
5.1628,29.96,Spring
4.2731,21.786,Winter
3.3652,19.953,Spring
7.7637,19.761,Fall
3.5972,2.9036,Summer
9.5385,20.954,Summer
3.634,26.044,Summer
8.022,21.801,Summer
9.392,18.06,Spring
2.5673,13.003,Fall
3.7863,26.46,Spring
6.0029,7.4332,Fall
0.86264,20.745,Summer
4.6482,25.86,Spring
4.9508,7.8433,Fall
3.1262,13.321,Spring
7.1757,21.673,Spring
7.4785,1.4828,Summer
9.2455,28.627,Spring
3.4326,11.763,Fall
2.2662,16.306,Spring
3.0715,2.3697,Summer
2.8962,12.691,Spring
1.3818,8.9402,Winter
4.8206,10.445,Spring
7.2767,24.5,Winter
1.1392,24.039,Summer
6.8186,20.287,Spring
3.6475,6.9486,Summer
2.6983,6.0879,Summer
9.7241,9.6612,Spring
1.1305,1.7196,Summer
0.33544,2.7238,Summer
1.2625,7.237,Spring
6.3177,16.091,Spring
1.6651,1.3376,Spring
2.5186,19.372,Spring
6.8603,5.3162,Fall
1.8959,23.782,Spring
7.1839,3.7282,Fall
8.3368,1.1811,Fall
0.64329,19.432,Fall
7.182,8.5206,Fall
0.52971,24.705,Summer
3.1063,7.1701,Spring
9.1706,13.404,Winter
5.766,12.991,Winter
1.6002,20.597,Winter
1.8047,17.018,Fall
2.8468,3.6772,Fall
7.3762,15.093,Winter
4.6048,10.617,Fall
0.19777,6.7155,Winter
4.1152,7.5537,Winter
0.97912,16.645,Fall
3.2419,10.803,Spring
5.0332,22.323,Winter
4.2987,26.997,Summer
2.7048,21.119,Fall
0.18026,18.981,Spring
2.782,29.382,Winter
4.361,5.8538,Winter
2.2127,19.031,Winter
2.501,14.462,Spring
4.6251,3.7345,Winter
7.9996,25.703,Winter
6.3917,8.7838,Fall
6.2583,4.2733,Fall
6.4757,24.375,Winter
