region_index,income,sector
9.7244,3.4715,Services
1.4293,1.8227,Tech
9.2373,12.691,Tech
7.0964,10.766,Services
3.7223,21.169,Manufacturing
5.478,20.826,Agriculture
9.0898,20.94,Manufacturing
0.36099,11.452,Manufacturing
3.2581,19.22,Services
2.1583,28.028,Tech
0.96784,19.877,Services
6.3442,3.1029,Services
8.5162,15.316,Tech
3.9876,28.181,Tech
9.1653,9.5191,Agriculture
3.1927,7.4089,Services
6.5646,12.754,Agriculture
2.021,29.523,Services
5.3877,13.606,Manufacturing
8.3804,4.9266,Services
7.1183,1.9816,Tech
4.1806,6.1005,Tech
4.5098,11.003,Tech
8.7504,12.84,Agriculture
1.868,20.714,Agriculture
7.7965,7.0988,Services
2.8053,17.997,Tech
3.6701,19.995,Agriculture
5.3239,14.66,Tech
9.0958,17.811,Tech
5.579,27.155,Services
1.6434,1.6976,Agriculture
5.411,23.659,Services
1.6222,27.846,Services
3.7484,18.188,Agriculture
0.20965,4.5739,Tech
1.6242,27.226,Agriculture
2.2906,3.3081,Manufacturing
0.55317,6.488,Manufacturing
4.6887,20.129,Tech
2.5414,0.69937,Manufacturing
4.8433,24.424,Agriculture
3.3402,17.382,Manufacturing
6.356,10.093,Agriculture
8.8028,19.232,Manufacturing
6.8347,6.031,Agriculture
9.6036,18.145,Manufacturing
1.8234,13.614,Manufacturing
4.93,25.51,Agriculture
5.1631,13.399,Tech
5.002,17.836,Services
9.9571,8.3469,Agriculture
0.020255,28.903,Tech
7.0511,19.585,Manufacturing
1.8079,17.055,Tech
2.9396,10.812,Services
2.2896,1.4494,Tech
3.2403,23.337,Agriculture
4.8889,0.61732,Services
4.6151,27.732,Tech
9.7221,23.863,Services
3.4563,5.0843,Services
0.83026,0.9073,Services
8.672,2.0365,Services
5.8626,1.6844,Manufacturing
2.2273,21.093,Agriculture
2.4691,7.6357,Services
6.8798,12.867,Tech
0.93205,14.195,Services
2.8585,15.566,Tech
5.5112,9.7306,Manufacturing
9.1633,18.819,Tech
7.7455,13.992,Manufacturing
3.302,3.0107,Tech
0.3011,1.8871,Tech
1.8119,16.451,Manufacturing
2.6006,26.997,Services
0.17471,7.6576,Services
3.7467,5.1913,Agriculture
3.4312,21.646,Services
3.5765,10.269,Services
9.4473,1.9702,Services
9.9689,1.8596,Services
8.1475,25.372,Agriculture
2.0151,1.965,Manufacturing
3.8361,11.185,Agriculture
4.8382,1.1667,Services
1.8059,24.832,Agriculture
9.2707,24.89,Agriculture
5.2171,29.019,Agriculture
9.757,11.309,Manufacturing
3.0142,4.9783,Services
7.6129,20.78,Agriculture
3.5419,21.354,Tech
1.0245,11.141,Tech
8.4229,10.13,Services
8.4069,17.194,Manufacturing
1.4844,11.126,Agriculture
5.1509,26.373,Services
0.75474,7.9855,Manufacturing
2.8373,4.8284,Manufacturing
8.8936,28.311,Services
3.9516,14.957,Manufacturing
3.6245,11.504,Services
0.77312,16.654,Agriculture
6.2722,1.6818,Tech
4.378,3.7491,Tech
6.2648,8.5144,Manufacturing
8.74,21.622,Agriculture
8.8223,11.672,Services
3.2061,16.308,Services
7.1144,7.9849,Manufacturing
2.3547,9.2747,Agriculture
7.3395,3.2548,Agriculture
6.1551,10.286,Tech
5.3367,1.7874,Services
1.6275,7.6585,Agriculture
4.5516,20.362,Manufacturing
1.3171,6.203,Tech
7.4115,22.904,Services
3.3104,16.928,Agriculture
7.9557,22.627,Agriculture
9.1048,16.852,Services
4.025,4.8005,Tech
0.26513,28.766,Services
2.5088,21.44,Manufacturing
4.8785,10.236,Manufacturing
6.3861,26.733,Tech
8.8252,16.861,Manufacturing
0.22175,3.6665,Tech
4.8735,8.1368,Agriculture
2.4642,11.753,Tech
5.6387,29.902,Agriculture
6.7727,2.9394,Services
4.8102,11.398,Services
8.7644,29.017,Services
8.6647,3.9132,Services
9.9577,17.366,Manufacturing
9.1836,5.9596,Agriculture
8.1664,15.334,Services
4.1991,9.3832,Services
1.547,14.348,Manufacturing
2.1755,10.898,Services
4.8816,12.776,Tech
1.6796,25.162,Agriculture
8.5633,8.9687,Services
2.4438,17.185,Services
0.62049,29.751,Services
5.3883,15.781,Tech
3.6354,15.117,Tech
5.9922,21.988,Agriculture
3.6599,8.0868,Services
0.40808,7.8217,Manufacturing
9.4268,24.82,Agriculture
0.48598,28.541,Agriculture
9.7958,20.806,Services
5.7672,20.694,Tech
9.4514,7.7454,Services
1.3377,13.179,Services
2.7492,15.388,Tech
3.3756,26.109,Agriculture
5.7385,23.796,Services
0.64459,2.682,Manufacturing
4.3304,12.402,Manufacturing
3.0906,11.833,Manufacturing
6.629,23.419,Services
0.048326,11.684,Agriculture
5.3196,21.201,Agriculture
5.7841,10.014,Services
5.0244,6.6639,Tech
6.1607,11.123,Agriculture
2.7826,5.4575,Tech
4.8513,25.548,Services
9.0965,8.3232,Manufacturing
6.366,9.8364,Services
8.6384,15.918,Services
4.4469,9.7001,Manufacturing
3.7906,26.8,Services
8.6849,14.139,Services
8.6357,22.285,Tech
0.077877,14.147,Agriculture
4.1461,16.553,Agriculture
2.0932,7.6851,Manufacturing
8.3355,3.8921,Tech
5.4463,22.534,Services
0.24372,5.5445,Manufacturing
2.3241,4.6837,Manufacturing
7.3074,14.858,Tech
1.7909,11.882,Agriculture
9.7594,20.356,Manufacturing
0.11085,9.7111,Tech
7.4516,9.8337,Manufacturing
2.0495,10.258,Manufacturing
4.4557,12.428,Tech
1.0083,5.9273,Agriculture
8.2363,20.041,Agriculture
1.0479,29.422,Services
2.092,5.2574,Tech
8.778,4.2043,Manufacturing
9.0424,8.004,Manufacturing
7.3498,1.9691,Manufacturing
2.196,5.9711,Manufacturing
7.33,0.050047,Manufacturing
5.8734,14,Manufacturing
7.2312,10.063,Manufacturing
7.2086,22.73,Services
5.6903,21.84,Tech
9.5372,14.346,Manufacturing
5.7052,7.9886,Manufacturing
7.2057,3.6556,Agriculture
3.0565,8.599,Services
0.72277,8.5813,Tech
7.1402,13.253,Manufacturing
3.2474,13.227,Agriculture
3.2194,15.214,Services
4.8933,9.3972,Tech
5.2735,7.8113,Tech
0.99665,3.1708,Agriculture
7.2635,4.2655,Services
7.8934,24.022,Agriculture
1.7919,5.3811,Tech
5.0726,1.692,Tech
2.1593,20.281,Manufacturing
9.9228,27.931,Tech
5.9281,9.3555,Tech
7.858,1.6368,Agriculture
7.0049,13.819,Services
5.0699,2.8669,Agriculture
5.8088,13.31,Manufacturing
5.3781,15.576,Tech
1.8362,0.33125,Services
9.151,10.855,Tech
3.0813,0.12539,Manufacturing
4.5672,27.004,Agriculture
8.1649,16.604,Services
3.491,12.495,Manufacturing
