region_index,income,sector
6.6192,23.478,Agriculture
8.8981,15.555,Tech
2.8273,6.3162,Tech
7.1161,20.321,Services
2.4125,19.796,Manufacturing
3.9279,13.256,Services
2.419,20.14,Services
9.6263,7.3446,Services
0.32044,10.961,Tech
4.2789,18.49,Manufacturing
7.3166,14.141,Tech
4.5518,16.498,Manufacturing
2.9467,15.471,Manufacturing
7.6115,27.859,Services
3.9989,4.2235,Services
0.47005,3.2593,Agriculture
2.5826,8.2945,Services
7.6094,16.809,Manufacturing
5.3171,4.7973,Agriculture
1.8585,16.041,Tech
1.8538,0.19609,Agriculture
0.077574,19.351,Manufacturing
2.7273,27.664,Services
1.9568,14.948,Tech
0.37019,6.7601,Tech
6.1236,9.3235,Manufacturing
4.9035,1.3845,Tech
0.69726,17.824,Manufacturing
9.7234,28.189,Agriculture
0.52527,18.354,Manufacturing
9.5917,25.796,Agriculture
9.0567,27.511,Agriculture
1.768,29.186,Services
2.8968,21.365,Agriculture
4.3662,6.8814,Tech
1.932,18.166,Tech
5.973,22.686,Tech
1.2549,19.341,Manufacturing
2.097,1.4472,Tech
8.5336,8.3618,Agriculture
7.6251,0.88387,Services
3.8309,8.5077,Services
3.9462,15.463,Manufacturing
0.6814,22.159,Tech
2.3708,2.0011,Tech
2.4076,26.178,Agriculture
7.3762,0.80778,Tech
4.2834,19.662,Manufacturing
7.9399,0.10891,Tech
2.2848,11.534,Agriculture
3.8825,2.6187,Tech
0.15186,3.9973,Tech
5.3679,17.429,Agriculture
4.7556,27.889,Manufacturing
4.3716,17.981,Manufacturing
3.5869,4.0365,Services
2.3696,17.832,Agriculture
5.4254,27.446,Manufacturing
0.18526,22.842,Agriculture
9.8279,20.743,Manufacturing
3.5073,20.795,Agriculture
7.7595,2.9022,Agriculture
5.0275,11.892,Manufacturing
0.057559,15.388,Agriculture
1.0724,8.7981,Tech
3.8185,17.693,Manufacturing
4.4488,5.6695,Services
7.1076,23.388,Manufacturing
3.9315,7.9511,Manufacturing
8.1893,2.7691,Agriculture
7.1267,19.667,Manufacturing
5.0506,4.5262,Agriculture
3.4371,14.951,Manufacturing
6.5429,21.563,Agriculture
9.3527,22.182,Services
7.5572,18.203,Manufacturing
6.0541,10.403,Agriculture
7.4273,28.567,Agriculture
5.706,24.785,Manufacturing
2.3608,13.096,Manufacturing
0.2154,6.9552,Tech
6.8817,5.4131,Tech
9.9336,10.651,Agriculture
2.8647,23.181,Tech
9.3439,21.485,Manufacturing
