region_index,income,sector
9.1743,15.394,Manufacturing
7.1512,19.57,Tech
2.9788,27.008,Manufacturing
0.19011,27.066,Manufacturing
9.1423,27.521,Manufacturing
7.3791,20.575,Services
4.6681,0.26797,Services
5.8292,15.706,Agriculture
3.179,8.9565,Tech
2.5973,23.389,Services
1.3697,3.3801,Agriculture
0.6018,20.074,Tech
2.662,10.085,Tech
5.6785,15.583,Agriculture
8.1173,26.856,Services
3.1008,8.4147,Tech
9.0895,22.81,Agriculture
5.1936,21.914,Services
5.4263,3.5883,Manufacturing
1.1449,17.92,Tech
0.82049,10.607,Tech
6.8557,24.593,Tech
4.8492,1.6366,Agriculture
7.455,22.231,Services
8.8911,20.131,Services
3.628,4.5985,Services
5.2596,6.2426,Agriculture
9.944,12.738,Services
3.9423,15.883,Manufacturing
1.4153,25.215,Manufacturing
1.5117,4.6681,Manufacturing
9.4867,17.157,Agriculture
0.82348,4.9311,Tech
1.13,1.2443,Tech
3.5029,21.455,Tech
2.6694,24.269,Tech
3.1764,29.543,Tech
6.851,12.002,Services
0.05522,3.9525,Agriculture
6.5526,20.644,Tech
5.09,28.714,Tech
4.0971,12.291,Tech
5.2074,3.4398,Services
1.485,9.2438,Manufacturing
2.9424,13.647,Manufacturing
1.9913,3.4412,Tech
8.5701,12.365,Manufacturing
4.9585,22.414,Services
6.3029,13.444,Manufacturing
4.5723,10.073,Services
5.2822,3.205,Tech
0.67278,12.539,Tech
1.6336,22.421,Agriculture
2.9535,28.449,Tech
1.4033,10.431,Tech
7.389,12.904,Manufacturing
1.9639,4.1537,Agriculture
7.3649,17.732,Manufacturing
4.4546,25.722,Tech
3.6144,22.769,Services
1.0296,14.301,Agriculture
3.0667,20.871,Services
5.0135,2.7753,Tech
1.7419,24.648,Manufacturing
8.0195,23.483,Services
7.1219,12.026,Agriculture
2.5754,29.722,Manufacturing
8.5472,19.245,Agriculture
6.4084,13.675,Services
1.9914,4.4853,Tech
8.112,22.533,Services
2.8201,13.042,Agriculture
2.6626,23.254,Manufacturing
2.9164,23.747,Tech
5.649,25.149,Manufacturing
2.0115,20.806,Services
6.6961,6.5124,Manufacturing
9.4212,22.006,Services
9.3211,12.069,Agriculture
2.6521,26.229,Services
3.8619,21.362,Services
