experience,salary,department
5.9684,29.148,Sales
2.6055,29.651,Sales
0.64074,18.723,HR
5.8296,0.44738,Marketing
7.5429,21.71,Sales
7.8707,19.015,Engineering
8.1152,25.765,HR
9.793,15.353,Sales
3.8237,21.723,Sales
5.6777,16.778,Sales
8.3247,22.554,HR
7.8367,9.548,Sales
4.2931,21.158,Marketing
6.4983,16.348,Engineering
4.9055,7.0994,Sales
1.1808,16.05,Engineering
1.9076,18.561,Marketing
4.0893,13.163,HR
7.2734,13.336,Engineering
3.7293,9.3683,Sales
5.5464,17.575,Marketing
6.4697,24.604,Marketing
9.4733,4.807,Sales
1.7756,4.9161,Marketing
3.6225,26.162,Marketing
5.0646,11.24,HR
6.4296,16.75,Marketing
4.7701,16.997,Engineering
4.4821,23.2,Sales
4.5989,8.7454,Sales
7.8376,26.587,Engineering
3.4464,16.953,Engineering
2.7394,14.916,Sales
2.0964,17.195,Marketing
2.3647,3.0943,Marketing
4.0933,29.442,Sales
6.4916,26.758,Engineering
8.3392,17.509,Engineering
2.5978,15.873,HR
7.6555,17.273,Engineering
6.0344,21.744,Marketing
3.0951,16.472,Engineering
4.4417,12.103,Marketing
3.5082,4.2826,Sales
0.64968,26.999,Sales
1.0009,10.527,Engineering
3.8254,20.081,HR
5.8638,18.163,Engineering
7.4772,17.597,Engineering
7.2307,18.705,Engineering
7.0296,7.0551,Sales
0.82199,29.6,Engineering
4.8957,6.8627,Marketing
1.3505,16.571,Sales
7.3595,4.7471,HR
3.9105,5.735,HR
1.0734,16.639,Marketing
8.98,16.936,Engineering
1.4649,11.377,Engineering
0.31826,25.518,Marketing
6.7081,15.913,HR
3.4176,29.263,HR
5.7035,29.948,HR
8.7627,15.967,Engineering
1.9472,26.867,Marketing
7.2707,25.729,Marketing
5.2472,18.586,Sales
0.83832,14.801,HR
0.65971,10.824,Sales
8.0481,14.833,HR
0.57005,22.37,HR
0.46947,29.676,Sales
3.9518,7.9748,HR
6.9747,23.072,HR
3.5647,19.86,Marketing
3.5431,22.511,HR
3.991,15.681,Engineering
8.5,9.8567,Marketing
9.4527,17.411,Sales
8.5484,23.282,Sales
7.7426,25.975,Sales
6.056,22.665,HR
4.3839,8.9477,Marketing
1.1894,20.336,Marketing
5.3629,18.166,Engineering
2.1907,5.1245,HR
5.296,11.306,Marketing
0.77957,6.4257,Engineering
6.0263,4.5453,Engineering
7.1136,14.162,Engineering
1.5678,20.224,HR
2.2795,24.398,Marketing
6.3178,22.302,Marketing
3.1551,28.993,HR
2.6905,17.064,Engineering
9.9052,19.127,Sales
4.1308,26.761,Marketing
9.3049,18.186,Sales
6.1021,27.624,HR
4.2141,16.834,Marketing
2.9036,3.5404,Sales
6.8724,28.178,HR
1.7464,18.954,Engineering
1.5958,14.913,Engineering
2.5844,10.508,Sales
1.2925,21.344,Sales
3.957,6.5371,HR
2.5459,16.822,Engineering
5.8459,25.541,Sales
8.1903,8.6472,Sales
5.3582,12.045,Sales
3.4728,22.448,Marketing
5.391,7.7028,HR
2.441,17.249,Marketing
5.9381,16.349,Engineering
0.27134,0.59999,Marketing
3.2922,13.796,Marketing
8.2524,8.9592,Sales
1.4642,18.101,Engineering
2.4145,13.705,Marketing
8.3937,3.5013,Sales
4.9761,15.327,HR
0.27497,11.856,Sales
5.1778,24.655,Marketing
5.5819,17.24,Engineering
0.4404,27.873,Sales
3.7385,12.017,HR
8.6023,5.406,Marketing
3.9014,6.6223,Sales
5.8081,9.1996,Sales
8.6736,3.1866,HR
2.0401,14.22,Engineering
3.6574,5.0207,Sales
5.8434,17.238,Engineering
2.9391,0.38984,HR
2.083,6.9652,HR
7.8663,14.346,Marketing
8.2587,17.707,Sales
4.6247,20.714,Engineering
1.652,20.126,Sales
3.5813,0.38843,Marketing
5.976,0.91955,Sales
7.9837,25.829,HR
3.8431,22.593,Engineering
6.1737,16.12,Sales
9.0006,1.934,HR
6.2388,28.296,Marketing
3.0841,5.9047,Engineering
3.4278,18.02,Sales
3.5171,21.994,Marketing
9.072,17.174,Engineering
5.874,12.633,Engineering
6.0064,18.078,Engineering
2.1075,4.3349,Engineering
6.8621,16.5,Engineering
2.5857,21.355,Marketing
4.354,12.851,HR
1.5535,18.652,Marketing
2.4783,17.952,Engineering
2.9825,15.957,Engineering
6.9401,16.464,Marketing
9.1936,26.635,Sales
7.616,17.58,Engineering
9.8351,1.8552,Marketing
1.0458,29.171,Sales
0.13768,12.101,Marketing
3.3253,11.728,HR
5.9893,2.7799,Marketing
4.3113,23.127,Marketing
9.7679,6.5456,Engineering
5.8768,8.1281,Engineering
3.9602,6.3636,HR
7.8675,5.5022,HR
4.6888,6.1837,Marketing
1.2123,22.743,HR
4.0825,21.103,Marketing
7.5872,26.178,Sales
8.0639,20.031,Marketing
5.2233,1.235,HR
2.4436,13.681,Sales
7.1533,17.681,Engineering
3.9047,9.9868,Marketing
4.8153,10.589,Sales
3.2051,13.365,HR
3.4231,17.778,Engineering
5.012,0.83176,Engineering
8.5266,18.375,Engineering
5.8181,3.5802,Marketing
9.7604,17.28,Engineering
6.4225,4.945,Sales
4.5774,3.0643,Marketing
2.4957,19.631,Sales
7.3468,11.166,HR
3.6451,8.1473,HR
3.4417,24.479,HR
9.3429,0.84149,HR
6.5166,8.2674,Sales
6.5056,11.95,Marketing
2.2077,7.6527,Sales
0.86022,7.9491,Engineering
3.3852,27.472,HR
3.7521,16.154,Engineering
4.5262,25.887,Marketing
2.4593,11.347,Engineering
4.6557,29.09,Engineering
6.9728,8.0075,Sales
4.4134,21.233,HR
7.5906,4.4694,Marketing
7.7899,0.95935,Engineering
9.0755,22.149,Marketing
6.7603,0.28211,Marketing
3.4226,0.41035,Sales
3.106,13.206,HR
8.972,15.909,Engineering
5.1225,3.3511,HR
3.2524,20.325,HR
8.9041,16.795,Engineering
6.5907,2.2877,Engineering
8.3195,19.559,HR
9.2737,6.7178,Sales
3.1618,14.497,Sales
4.832,25.648,Marketing
7.3804,26.337,Marketing
6.9445,0.67816,HR
6.1037,17.027,HR
6.0866,7.5232,Sales
1.0766,16.622,HR
5.5417,13.433,Marketing
7.818,29.615,HR
8.5944,14.667,Engineering
2.417,7.6409,Marketing
6.8905,28.182,Sales
3.8763,28.507,Sales
2.5411,0.21845,Sales
1.6112,18.22,Engineering
2.2731,5.0863,Marketing
3.3721,16.657,Engineering
5.2461,18.5,Engineering
1.315,15.022,Sales
0.55316,17.669,Engineering
9.1767,16.597,Engineering
8.7812,21.379,Sales
6.9309,16.194,Engineering
1.0085,12.987,Sales
6.8229,21.12,Marketing
3.9158,2.1656,HR
9.7291,16.999,Sales
7.5186,13.99,Marketing
4.693,16.988,HR
8.7666,15.4,Engineering
3.5193,6.7315,HR
3.8061,10.481,Sales
6.6805,6.1278,Sales
5.8491,3.341,HR
7.7702,13.846,Marketing
9.8724,22.218,Engineering
2.3832,10.239,HR
3.4276,0.96563,Sales
9.3488,15.849,Marketing
5.4922,27.031,Sales
5.3385,18.463,Engineering
9.9314,19.136,HR
3.2024,0.45356,Sales
9.4746,13.722,HR
7.7372,26.565,Sales
0.80176,20.381,Marketing
6.6501,23.593,Sales
6.3112,18.19,Sales
9.8015,11.166,Marketing
0.94979,11.821,Sales
7.2531,15.338,Sales
4.9543,24.654,HR
8.3573,21.426,Sales
8.5004,3.32,HR
4.1911,16.456,Marketing
4.6022,6.7859,Engineering
1.1103,25.442,Engineering
4.6889,0.87241,HR
4.5491,17.834,Engineering
4.2077,29.941,Marketing
2.4681,4.0258,HR
6.6224,4.1386,Sales
8.9758,12.58,HR
0.044047,14.439,Marketing
0.11461,18.794,Engineering
