month,humidity,season
5.0956,7.3697,Summer
8.8745,13.149,Winter
6.4163,20.878,Fall
5.8404,23.205,Summer
4.135,16.661,Summer
5.9118,0.59628,Summer
0.36584,18.989,Spring
7.6058,21.698,Spring
9.7517,3.857,Spring
7.953,25.389,Summer
2.9591,25.047,Spring
8.083,25.701,Summer
8.7938,17.54,Spring
8.2292,15.279,Summer
4.5456,18.457,Winter
4.1983,15.903,Fall
2.6033,19.085,Spring
0.39631,17.699,Winter
6.1614,11.297,Summer
3.7492,29.009,Summer
5.3178,4.4207,Summer
3.1471,17.872,Fall
1.849,17.183,Winter
9.1024,27.885,Summer
8.6584,19.358,Spring
3.4094,16.209,Summer
1.6027,29.505,Fall
0.40626,9.2455,Fall
9.4099,27.335,Summer
3.1331,21.6,Fall
7.9996,15.213,Winter
9.5142,4.345,Spring
0.53339,17.916,Winter
7.8714,4.5085,Fall
2.9825,5.3933,Fall
7.5611,29.088,Spring
5.1153,18.595,Winter
2.8663,18.542,Winter
6.3335,24.329,Fall
7.8294,16.872,Summer
3.5925,8.9473,Summer
6.1403,24.815,Spring
7.8242,18.543,Winter
0.42422,27.858,Spring
7.4394,16.062,Winter
3.1032,25.07,Spring
5.8131,19.084,Spring
1.4213,17.05,Winter
4.5757,22.686,Winter
7.3425,7.2797,Fall
2.2237,23.269,Summer
5.0205,5.3766,Spring
0.57827,18.511,Winter
4.6959,3.2316,Summer
6.6181,19.589,Winter
6.3481,11.975,Fall
0.87813,27.174,Spring
4.1999,19.074,Winter
2.9578,18.304,Summer
1.3592,17.847,Spring
1.9969,15.338,Fall
2.9991,15.613,Winter
5.6752,19.209,Fall
5.5006,5.3339,Fall
8.0681,19.059,Fall
3.1463,16.361,Winter
2.4498,25.896,Spring
5.5498,6.2205,Fall
1.211,18.28,Spring
2.4877,29.563,Fall
9.0159,8.2143,Summer
7.8853,22.997,Summer
4.9184,23.077,Spring
1.2936,15.769,Fall
5.7531,10.848,Summer
1.5254,28.157,Winter
6.0849,18.51,Fall
1.2061,18.173,Summer
1.5485,25.712,Summer
2.1514,11.213,Summer
0.59759,18.363,Winter
0.14778,4.5523,Summer
4.7496,12.853,Summer
3.7063,12.965,Spring
9.0227,16.836,Winter
6.7068,25.382,Fall
4.1127,4.6637,Summer
7.8067,27.209,Spring
1.5069,27.195,Fall
5.3817,23.417,Summer
4.2587,0.7792,Spring
5.7883,23.518,Spring
7.5885,12.533,Winter
7.5116,18.116,Winter
5.1683,22.804,Spring
8.4029,3.2862,Summer
1.1315,8.8777,Summer
6.8593,17.284,Winter
4.8791,7.0994,Spring
7.9072,18.458,Winter
8.8156,3.3443,Spring
0.25613,18.282,Winter
7.3066,15.673,Winter
9.6351,22.513,Summer
3.5684,18.243,Winter
7.6704,4.8117,Winter
7.9741,4.475,Spring
7.9065,24.47,Fall
4.9124,22.413,Fall
8.2691,20.04,Winter
0.72567,19.018,Winter
4.0098,24.116,Spring
2.9266,4.5177,Spring
9.0162,28.588,Summer
7.9263,19.678,Summer
5.3974,6.3341,Summer
9.2595,17.047,Winter
7.7894,18.078,Winter
0.29153,14.923,Summer
6.9904,28.905,Fall
7.6203,19.48,Summer
0.98778,1.1241,Spring
9.2184,18.494,Winter
5.8136,19.506,Spring
6.723,4.8497,Spring
1.0936,17.761,Fall
7.4091,17.921,Winter
4.0902,20.159,Fall
9.8529,2.8409,Summer
8.2696,29.48,Winter
5.3019,23.836,Spring
2.4429,17.674,Summer
1.3583,28.001,Summer
3.6191,22.315,Summer
3.3441,23.799,Spring
0.23071,18.606,Winter
4.4209,4.2431,Spring
3.6088,16.032,Spring
4.7534,0.10963,Winter
8.9215,17.49,Winter
8.8043,3.1557,Fall
8.6793,4.945,Summer
9.2492,3.8338,Summer
4.1577,22.567,Summer
3.2275,17.929,Winter
2.5053,10.057,Fall
2.7557,27.496,Spring
8.6419,29.898,Fall
7.707,10.169,Winter
9.5642,19.766,Spring
8.0276,6.867,Fall
4.1554,16.573,Spring
0.11198,24.936,Spring
3.4211,25.558,Spring
0.72931,2.155,Spring
2.4497,18.101,Winter
1.4419,7.2624,Fall
3.0009,3.3215,Fall
9.3543,14.373,Spring
3.5814,29.1,Summer
8.3759,23.993,Fall
4.7227,7.2649,Summer
2.7148,13.876,Fall
2.0837,2.7051,Summer
2.5184,0.4374,Spring
0.79729,27.577,Spring
1.6227,7.5106,Spring
0.85655,27.548,Summer
1.4792,22.199,Winter
0.79836,16.964,Summer
0.64173,3.8526,Summer
1.2405,3.2543,Summer
2.2108,9.786,Spring
8.8316,15.537,Winter
9.9847,23.515,Summer
8.1078,21.518,Spring
2.2654,13.192,Spring
3.5215,24.689,Spring
3.8896,29.64,Spring
8.333,10.01,Fall
8.9945,19.862,Summer
5.6697,25.595,Spring
2.2186,21.483,Spring
4.4102,1.8353,Spring
8.6024,10.658,Summer
2.9406,18.502,Winter
7.839,24.664,Spring
6.4692,16.231,Summer
5.3145,29.211,Fall
5.7763,1.555,Summer
0.11533,5.3267,Fall
5.7455,19.549,Winter
1.8767,27.282,Summer
7.0405,16.804,Winter
2.5946,17.684,Winter
0.20671,18.908,Winter
7.607,17.855,Winter
3.4761,17.477,Winter
2.3121,4.3846,Spring
8.1908,20.74,Spring
6.2926,9.1596,Winter
9.6041,3.9851,Fall
6.427,18.839,Winter
2.8797,4.6609,Spring
6.0068,22.415,Fall
9.9227,16.252,Winter
4.2415,27.594,Summer
6.2834,8.3669,Fall
7.3335,8.0729,Summer
3.517,24.346,Spring
6.0282,4.789,Summer
9.4867,22.942,Fall
1.9998,16.978,Fall
9.6516,20.167,Fall
9.0818,18.254,Winter
5.9506,3.7807,Spring
5.4391,2.6648,Spring
9.2454,2.3125,Fall
8.4467,18.113,Winter
7.2431,27.461,Summer
9.5416,29.857,Spring
5.9635,4.7224,Winter
3.6819,26.094,Winter
8.3704,14.62,Fall
3.5221,18.663,Winter
5.8397,18.959,Winter
0.55489,28.346,Summer
9.6066,3.5476,Fall
6.0846,24.787,Summer
5.9246,3.8147,Summer
7.8836,29.245,Spring
0.64275,23.179,Summer
3.6683,1.3027,Spring
4.8348,9.7805,Summer
4.5456,27.363,Spring
3.1386,22.264,Summer
6.443,26.632,Fall
4.4263,18.217,Winter
1.3199,28.273,Spring
9.2762,3.3325,Spring
9.4667,22.295,Winter
5.754,28.218,Spring
3.9161,15.049,Winter
0.42029,18.62,Winter
9.427,19.503,Winter
3.5184,4.2223,Summer
6.4525,25.4,Spring
8.3992,26.463,Summer
0.083764,2.7772,Fall
3.5234,16.336,Winter
9.0813,18.615,Winter
9.2235,17.99,Summer
8.3695,14.242,Spring
1.2059,26.97,Summer
4.8831,16.804,Fall
4.48,8.1675,Fall
3.4993,13.119,Summer
6.4712,16.284,Winter
5.9609,17.736,Winter
0.4343,26.013,Summer
4.549,24.817,Fall
0.40522,28.513,Spring
3.0685,15.225,Winter
7.4425,20.483,Winter
9.6956,23.197,Fall
1.5755,14.347,Fall
8.424,17.421,Fall
9.0594,13.158,Spring
5.5893,16.469,Spring
1.6533,15.62,Summer
1.8095,4.9398,Fall
3.973,18.717,Fall
9.7977,7.3606,Spring
9.9836,15.895,Winter
4.5932,4.9265,Fall
3.1246,28.088,Summer
2.3533,19.409,Spring
3.5498,1.3929,Summer
6.1168,17.412,Winter
3.3233,11.666,Summer
4.5809,19.492,Summer
3.3027,17.831,Winter
1.0285,28.434,Summer
3.1251,18.221,Winter
0.29702,6.5483,Spring
7.8179,23.029,Fall
2.9162,8.9052,Fall
1.5021,19.146,Winter
5.7492,19.555,Summer
7.3922,27.65,Fall
7.9803,27.738,Spring
8.8706,5.3088,Spring
5.2229,15.544,Fall
8.3882,17.433,Winter
8.3124,23.075,Summer
5.992,4.6818,Spring
4.3412,2.6111,Spring
9.2563,21.393,Winter
4.5549,1.1378,Fall
5.221,4.6129,Spring
9.9024,16.382,Winter
6.9158,5.1694,Fall
5.2261,14.403,Fall
6.8165,13.286,Summer
0.84855,17.677,Winter
6.232,12.734,Spring
0.26617,4.9013,Spring
2.0056,17.437,Winter
0.21982,17.236,Winter
5.0582,26.743,Summer
2.3479,7.1729,Summer
8.4932,17.421,Winter
7.3408,16.932,Winter
2.0044,8.0738,Summer
7.8494,14.441,Fall
3.6762,28.781,Summer
6.7175,16.422,Spring
6.7306,15.305,Winter
7.7877,4.3569,Summer
2.0694,23.582,Spring
5.9202,3.3343,Winter
2.5905,11.408,Spring
5.455,19.465,Winter
1.9747,6.4116,Spring
6.9749,18.035,Winter
1.6675,12.452,Spring
6.9745,13.071,Spring
1.4818,21.255,Summer
9.2469,19.569,Spring
2.8922,16.933,Winter
2.4227,19.66,Winter
3.7252,17.968,Winter
4.8729,24.694,Spring
4.9097,6.9601,Spring
7.7184,7.5929,Spring
4.9666,15.635,Spring
8.549,21.887,Summer
5.5178,13.85,Spring
2.9132,13.428,Spring
8.6773,26.408,Fall
7.9069,19.075,Winter
5.0339,3.9866,Summer
7.2252,3.5533,Spring
2.4617,18.505,Winter
5.3636,18.472,Spring
1.6133,25.989,Spring
8.5358,14.216,Fall
4.2289,10.225,Fall
3.0005,27.049,Fall
6.1739,4.4628,Fall
6.8539,14.867,Fall
7.9815,19.109,Winter
7.5056,25.715,Summer
6.5952,10.043,Spring
3.2649,8.7958,Summer
3.7148,21.206,Winter
9.455,25.121,Winter
4.4903,17.91,Winter
6.4264,0.72244,Summer
0.91997,3.2924,Summer
7.7778,18.095,Winter
5.2099,0.51708,Summer
1.8509,27.771,Spring
0.71631,5.5496,Winter
0.29986,19.715,Fall
7.9621,23.151,Winter
1.0214,18.845,Winter
8.1238,19.479,Spring
6.5652,20.924,Fall
1.6267,24.702,Spring
7.1123,13.529,Fall
9.0766,13.005,Spring
5.0407,18.196,Winter
3.8853,26.085,Spring
7.7716,28.193,Fall
5.7622,2.0629,Summer
2.1577,0.21717,Summer
7.4436,18.248,Winter
3.8182,19.74,Summer
8.5927,8.4509,Fall
5.0995,21.356,Summer
8.8195,27.275,Fall
0.16253,27.169,Summer
4.4349,10.751,Spring
6.5992,9.6251,Summer
1.5619,29.408,Summer
2.1249,1.727,Fall
8.3197,7.7484,Fall
2.5397,12.335,Summer
7.0851,6.8827,Winter
0.4842,7.4467,Winter
6.2309,17.27,Fall
4.6536,10.498,Spring
1.9767,14.749,Summer
1.8008,4.1163,Summer
9.1594,18.178,Winter
2.7636,19.526,Winter
3.6869,17.52,Winter
7.0368,15.476,Fall
3.9441,3.7902,Summer
5.944,2.0412,Summer
0.71578,16.328,Fall
8.1474,17.69,Summer
6.4045,10.568,Summer
7.2937,18.876,Winter
6.603,14.073,Spring
9.5235,15.801,Spring
2.3373,29.894,Spring
6.4882,3.0006,Spring
9.324,2.2385,Winter
5.7578,8.8594,Summer
2.6748,8.6359,Fall
1.3774,12.597,Fall
9.7093,19.284,Winter
9.801,4.9297,Summer
8.3559,8.1717,Spring
6.324,17,Summer
3.1171,12.551,Fall
8.6641,15.363,Spring
5.5898,7.6153,Fall
3.3167,25.91,Fall
2.1955,28.762,Summer
7.1815,2.6361,Spring
9.4427,20.304,Winter
5.4899,8.2969,Summer
4.1878,10.144,Fall
7.3798,17.205,Fall
2.9606,25.118,Summer
1.8682,27.136,Fall
5.3537,20.332,Spring
9.4222,28.641,Fall
2.446,20.555,Winter
4.1794,14.398,Fall
0.90133,1.2307,Spring
6.5292,29.206,Summer
0.84542,23.952,Fall
3.8674,7.3421,Summer
7.6756,17.072,Winter
3.6802,24.081,Fall
2.3504,1.4629,Fall
5.2339,29.535,Winter
7.2917,2.5701,Summer
9.5917,21.469,Summer
9.4249,19.298,Spring
9.4385,24.269,Winter
3.3635,9.5013,Summer
0.90142,17.74,Winter
3.1499,16.928,Spring
8.9447,8.8676,Spring
1.7745,10.848,Spring
8.0578,18.662,Winter
4.1599,2.0606,Summer
5.7417,19.654,Summer
0.65109,17.559,Winter
4.5181,15.286,Summer
0.4483,19.16,Fall
0.61781,4.9611,Fall
0.33116,28.459,Winter
5.0459,2.2826,Spring
4.9252,3.7504,Spring
3.799,17.471,Fall
0.83395,28.038,Spring
2.8163,15.269,Winter
0.5645,26.963,Summer
6.568,22.906,Fall
2.9977,0.71685,Spring
5.5202,17.682,Winter
5.5245,11.821,Spring
7.9515,12.601,Summer
4.8722,17.659,Spring
6.4443,18.973,Winter
6.664,10.241,Spring
7.6397,19.714,Summer
7.5117,13.104,Fall
4.1505,13.026,Spring
2.9095,12.7,Fall
5.7886,23.487,Spring
4.0899,18.386,Winter
7.9791,7.6515,Spring
7.2448,17.531,Winter
4.8838,9.1501,Fall
6.3648,18.451,Fall
1.6791,2.3607,Summer
6.6017,20.654,Winter
4.405,1.84,Fall
0.32093,14.909,Fall
5.7626,18.37,Winter
3.1376,5.3409,Summer
3.1431,0.080847,Winter
1.854,29.919,Spring
7.2459,25.472,Spring
5.8328,24.591,Spring
8.956,8.6087,Fall
4.6622,10.023,Winter
0.23677,17.08,Winter
1.0929,8.4067,Fall
0.030044,12.871,Spring
6.5499,6.762,Spring
3.9337,10.34,Spring
7.1979,8.5357,Spring
7.9909,20.173,Winter
3.1068,16.664,Winter
4.9595,20.911,Summer
0.94611,24.646,Winter
8.1871,19.74,Spring
3.7111,23.764,Summer
7.8717,2.334,Spring
7.3151,19.934,Spring
4.0706,8.8698,Summer
0.12014,13.745,Summer
3.5327,12.207,Summer
2.0968,9.5114,Spring
3.5109,16.515,Spring
3.7107,17.299,Fall
0.66376,17.927,Summer
8.1108,22.426,Spring
7.1191,8.9304,Fall
6.6492,17.362,Winter
0.9929,25.262,Fall
6.6742,24.049,Fall
6.3867,26.459,Summer
8.3478,13.055,Summer
3.1568,13.832,Summer
7.6908,11.883,Summer
1.2147,14.671,Fall
4.2558,21.097,Winter
7.3159,12.767,Fall
6.9958,0.73572,Spring
6.1338,19.73,Spring
1.6275,17.514,Winter
6.6082,16.578,Summer
2.7682,23.019,Spring
8.6795,6.559,Fall
9.3642,27.767,Fall
4.1987,8.4871,Spring
5.7041,12.159,Fall
3.5383,16.371,Fall
2.822,2.9612,Spring
9.821,18.247,Spring
6.218,19.49,Summer
3.5635,1.9717,Fall
1.1073,28.308,Spring
0.84002,17.134,Fall
3.85,17.822,Winter
8.093,15.584,Summer
7.0702,4.0849,Winter
3.9931,7.326,Summer
8.7426,1.923,Summer
0.80038,9.6899,Spring
7.2471,14.797,Fall
3.788,29.995,Summer
9.3227,12.192,Fall
6.0968,22.172,Summer
5.6513,19.894,Winter
0.3092,26.364,Winter
3.579,17.53,Fall
1.3042,16.976,Spring
8.1493,27.045,Spring
6.1743,19.332,Fall
3.8974,21.015,Summer
5.4929,16.888,Summer
6.1582,23.002,Summer
3.7792,13.609,Summer
3.2324,19.779,Winter
8.0301,0.19819,Fall
2.3966,1.3181,Fall
