study_hours,test_score,grade_level
1.4949,23.527,eleventh
0.36762,10.65,eleventh
8.3772,10.253,twelfth
7.8016,0.74618,tenth
0.53333,20.205,ninth
5.4621,12.072,ninth
2.2451,21.078,ninth
0.75172,7.5882,eleventh
1.6738,3.4736,twelfth
9.2625,22.424,twelfth
0.44149,6.3069,tenth
4.2536,29.134,ninth
8.1661,3.6121,ninth
7.3798,5.6454,ninth
9.4279,6.1865,ninth
2.3663,11.486,tenth
7.2741,8.6959,tenth
6.071,20.524,eleventh
7.3603,18.569,tenth
1.3219,0.56807,tenth
7.868,26.533,eleventh
0.39534,10.613,twelfth
4.7238,27.968,eleventh
6.7371,22.818,eleventh
7.259,3.7966,tenth
1.7434,1.8034,twelfth
3.3189,10.183,ninth
9.2329,26.632,twelfth
1.0029,28.25,twelfth
4.9661,10.212,ninth
9.1979,10.265,ninth
1.3113,4.9239,twelfth
7.8235,18.225,eleventh
0.53159,13.28,ninth
4.2715,14.766,ninth
7.921,17.146,tenth
6.452,13.942,tenth
7.8859,18.693,ninth
1.08,15.394,tenth
1.7133,2.067,tenth
2.2405,11.193,tenth
9.5237,18.739,twelfth
3.9011,17.723,ninth
1.1482,10.929,twelfth
3.0671,12.781,eleventh
3.5477,0.011702,tenth
9.0156,13.866,ninth
6.5611,13.53,tenth
2.5982,14.59,tenth
4.5329,23.022,eleventh
8.4859,4.9757,tenth
0.23371,7.9123,twelfth
1.5839,17.228,twelfth
1.4739,25.349,eleventh
1.1242,27.733,eleventh
1.2969,14.443,twelfth
5.1084,18.544,eleventh
3.0011,4.6839,ninth
3.0997,20.729,twelfth
2.5759,8.8481,ninth
8.2794,8.519,eleventh
0.65901,11.045,ninth
4.8498,7.9767,tenth
7.2455,14.789,eleventh
2.336,0.31768,tenth
3.6317,15.746,eleventh
5.7427,9.9665,ninth
0.76921,7.4651,tenth
3.7184,4.8747,tenth
0.11357,9.8621,tenth
3.6753,4.2975,tenth
4.4831,24.243,eleventh
5.6545,4.561,tenth
7.1179,5.881,twelfth
3.9125,28.088,ninth
8.5288,22.8,twelfth
0.15709,11.861,ninth
1.2601,9.3666,twelfth
5.7477,4.9712,eleventh
3.7777,13.993,ninth
3.9825,8.3045,eleventh
7.4014,28.701,ninth
3.5743,9.416,twelfth
9.1187,3.3174,twelfth
7.9456,1.6838,tenth
8.7004,12.182,tenth
4.1543,13.081,twelfth
3.2386,6.4947,twelfth
8.9065,19.214,tenth
7.3815,10.358,ninth
5.9636,21.137,eleventh
2.4556,5.454,eleventh
0.022441,18.758,tenth
4.2577,26.849,eleventh
3.0752,17.26,eleventh
1.1085,14.197,eleventh
6.3267,28.463,eleventh
8.9171,27.345,ninth
3.0847,24.759,twelfth
8.8904,24.988,ninth
8.4372,14.792,tenth
2.2306,7.5317,eleventh
5.3455,13.541,eleventh
9.6697,24.644,eleventh
0.060726,14.62,ninth
8.6626,10.821,twelfth
3.0973,3.581,eleventh
5.7219,4.2971,ninth
0.35446,8.4619,ninth
4.3915,15.07,twelfth
8.8744,16.627,twelfth
1.0845,16.866,twelfth
1.959,3.8,tenth
1.5848,10.216,tenth
9.2802,18.831,tenth
5.9792,4.3589,eleventh
2.2624,17.032,eleventh
5.9006,29.218,eleventh
9.9302,23.984,eleventh
8.5893,7.2404,tenth
1.7519,12.075,eleventh
4.1958,22.953,ninth
1.7886,15.319,eleventh
6.1389,19.542,ninth
4.4694,21.212,twelfth
3.2852,21.44,eleventh
4.001,14.985,tenth
0.45887,21.54,ninth
4.8279,7.1409,tenth
4.5115,19.197,ninth
7.5167,22.607,eleventh
5.1892,5.9596,tenth
6.9333,9.9243,twelfth
6.7487,3.1929,tenth
3.4896,24.078,twelfth
8.7537,13.477,tenth
9.0632,5.9334,tenth
0.73182,0.27263,ninth
6.9303,23.269,ninth
3.398,25.655,eleventh
4.0815,17.755,ninth
9.6274,2.7317,tenth
1.5423,26.848,ninth
1.0933,8.6669,twelfth
3.1331,15.743,tenth
1.9479,18.025,eleventh
5.2949,2.4122,tenth
1.4204,2.8051,eleventh
0.51265,9.6356,eleventh
6.2332,6.3766,twelfth
3.7053,28.374,eleventh
6.876,8.2528,eleventh
2.4477,9.4155,tenth
6.9235,13.764,tenth
2.3863,16.612,ninth
3.6662,25.41,ninth
1.0259,18.982,tenth
5.105,12.324,tenth
7.4263,8.8722,ninth
9.8641,13.147,eleventh
2.4109,24.012,ninth
7.9886,23.757,ninth
5.7261,16.088,tenth
5.9691,16.253,twelfth
9.7813,2.5596,twelfth
8.2826,14.927,tenth
4.4663,18.124,twelfth
5.349,28.726,twelfth
2.6564,23.688,twelfth
7.6929,15.291,tenth
5.4087,11.228,eleventh
9.1267,27.964,eleventh
7.1745,26.101,twelfth
0.26209,12.821,tenth
4.6047,3.9759,eleventh
1.5062,11.142,ninth
8.9237,20.27,ninth
7.075,9.4815,twelfth
3.6401,17.208,twelfth
2.4521,9.9014,tenth
9.9344,24.025,ninth
9.1809,25.449,twelfth
6.9208,9.2848,twelfth
8.4472,16.711,eleventh
2.9373,24.221,ninth
8.8434,8.0283,tenth
4.5669,11.929,twelfth
3.41,0.015932,twelfth
5.1163,18.184,tenth
8.0363,24.697,eleventh
6.21,3.1498,tenth
4.9898,17.165,ninth
9.7153,25.416,eleventh
9.4053,26.54,eleventh
0.037132,5.3525,twelfth
9.8804,4.1144,tenth
9.1195,18.96,eleventh
2.6353,3.4582,eleventh
1.5427,7.3872,twelfth
0.87043,17.186,twelfth
9.6435,28.12,twelfth
6.1379,1.0188,tenth
5.2295,16.906,eleventh
3.8655,26.896,eleventh
9.9905,14.026,twelfth
9.4287,10.176,tenth
3.1223,25.137,twelfth
1.0761,21.936,ninth
3.6589,19.18,twelfth
0.35518,21.663,eleventh
7.9212,0.46192,tenth
8.6679,12.846,twelfth
7.4612,29.269,ninth
9.8812,1.0818,ninth
2.8094,6.0586,ninth
0.61462,4.4749,tenth
9.1245,2.5577,twelfth
1.788,29.434,ninth
5.8768,28.903,twelfth
6.49,29.249,eleventh
2.7137,23.795,twelfth
1.856,17.586,ninth
8.2066,6.1063,tenth
9.9711,17.039,twelfth
6.0091,12.37,twelfth
6.6323,13.116,eleventh
6.2815,10.918,eleventh
2.9136,7.6154,twelfth
9.876,11.851,tenth
0.87929,21.866,twelfth
7.425,17.833,ninth
4.4667,25.716,ninth
6.9617,29.825,twelfth
2.6036,8.854,tenth
8.4613,17.986,eleventh
1.903,23.504,ninth
2.072,10.962,tenth
2.3286,13.083,ninth
1.3154,18.74,twelfth
6.3919,13.564,tenth
9.3292,22.313,ninth
4.8627,18.775,twelfth
2.2647,1.9406,tenth
2.5631,17.1,eleventh
6.8275,18.31,eleventh
1.3611,11.651,ninth
0.67442,19.93,twelfth
4.9122,8.3401,twelfth
9.1625,21.442,eleventh
3.9228,0.40434,twelfth
4.1734,20.439,eleventh
0.20502,19.304,tenth
6.5777,22.287,ninth
0.93659,13.445,ninth
2.7254,16.96,tenth
0.31905,22.695,ninth
6.6645,1.2073,twelfth
0.37059,17.538,tenth
2.9081,26.931,eleventh
3.7467,12.183,ninth
5.0934,28.722,ninth
5.538,0.21219,eleventh
3.9863,21.656,twelfth
10,0.64701,tenth
3.8384,3.2643,eleventh
7.7122,15.859,tenth
0.013687,26.084,ninth
7.0778,3.3859,tenth
0.75668,14.624,ninth
8.1896,26.769,twelfth
8.9457,5.6679,tenth
7.1491,11.99,eleventh
1.2334,14.472,ninth
1.2962,0.30887,ninth
3.3077,16.474,tenth
2.2904,11.149,twelfth
0.21525,4.2079,eleventh
3.6702,29.841,twelfth
8.7561,8.3475,twelfth
5.0806,12.244,ninth
8.6381,26.504,eleventh
8.487,21.57,ninth
