study_hours,test_score,grade_level
4.6112,20.83,ninth
0.43492,25.67,ninth
0.94981,15.484,twelfth
2.11,11.19,eleventh
7.7553,6.9233,eleventh
2.9919,6.1935,ninth
0.90939,19.3,tenth
8.2205,1.4186,eleventh
5.7721,12.14,eleventh
0.1446,24.235,twelfth
2.9003,4.1957,eleventh
8.7986,21.84,twelfth
5.3164,14.937,tenth
5.1908,11.732,tenth
0.66735,5.5509,ninth
1.4397,16.926,tenth
4.1353,12.325,tenth
3.279,1.3616,tenth
2.5564,11.946,eleventh
1.8508,2.4263,ninth
1.3041,13.208,tenth
3.7632,9.2271,twelfth
2.6846,4.5842,eleventh
1.8582,17.893,ninth
9.2067,9.7434,eleventh
3.1115,25.081,twelfth
1.8005,2.285,eleventh
1.6714,10.054,eleventh
3.9574,6.5143,eleventh
6.4742,22.405,ninth
7.2519,9.5683,twelfth
5.8279,19.847,twelfth
5.3312,24.996,ninth
0.35233,11.3,eleventh
5.7163,14.35,tenth
2.181,17.599,ninth
1.4522,27.165,twelfth
3.713,11.919,eleventh
3.8998,17.821,ninth
1.3159,27.764,twelfth
9.0436,25.393,ninth
1.1031,5.4913,eleventh
2.7048,16.9,twelfth
8.7016,0.58595,tenth
0.94751,0.67227,twelfth
4.6598,28.275,twelfth
9.1219,5.5514,eleventh
7.9985,29.858,tenth
7.6056,20.756,twelfth
5.8081,14.333,ninth
1.1113,4.0055,eleventh
9.1663,6.9872,tenth
6.8345,4.8273,tenth
4.2563,10.493,ninth
8.3977,11.673,eleventh
7.64,17.542,twelfth
5.7432,25.733,twelfth
8.7188,4.1299,ninth
7.047,22.937,tenth
1.9304,15.928,eleventh
0.62576,9.7551,tenth
9.5579,6.5511,twelfth
8.2206,12.614,ninth
6.6838,1.6849,twelfth
8.5121,15.752,ninth
8.7994,2.4346,ninth
8.916,16.965,twelfth
2.8946,4.9551,ninth
9.6819,5.354,ninth
6.2606,2.9745,twelfth
1.5505,5.1851,eleventh
4.9721,14.326,eleventh
8.0668,4.5901,eleventh
1.3547,0.87361,tenth
5.5169,10.725,twelfth
1.3771,10.573,eleventh
9.3879,25.989,tenth
6.1273,8.9465,ninth
3.8307,23.943,ninth
5.1342,5.6739,ninth
9.7383,14.319,eleventh
7.9605,21.394,twelfth
2.1369,2.6438,eleventh
7.5038,29.006,twelfth
1.0521,11.605,eleventh
9.4182,24.541,tenth
7.5577,15.022,eleventh
6.8266,16.876,ninth
0.41538,1.5142,ninth
0.20563,24.954,ninth
5.1579,20.317,ninth
0.22838,16.482,tenth
9.8425,16.368,eleventh
0.56372,16.632,tenth
8.7417,0.031406,eleventh
1.9604,27.336,tenth
7.0624,20.564,tenth
8.1154,10.808,ninth
1.1398,24.665,ninth
5.6717,15.225,ninth
5.2927,13.53,eleventh
5.078,16.003,eleventh
9.7637,5.9459,eleventh
9.3512,6.8021,ninth
3.384,10.998,twelfth
4.1325,18.855,tenth
9.1821,3.1486,eleventh
7.6675,9.1263,tenth
6.6354,13.264,eleventh
7.0881,13.848,ninth
3.4203,12.381,twelfth
8.5687,26.251,twelfth
1.9771,1.3069,twelfth
4.9835,8.714,tenth
6.7578,27.073,tenth
5.9863,28.205,tenth
4.0041,3.9737,tenth
9.9434,8.9036,twelfth
1.5253,13.634,twelfth
8.358,1.7394,ninth
0.8343,29.691,ninth
3.1087,14.036,tenth
9.0289,26.77,twelfth
3.0935,2.6442,ninth
1.5695,20.681,ninth
9.6752,0.51727,tenth
2.6845,10.428,twelfth
2.7457,22.588,tenth
6.5853,11.303,eleventh
0.99319,12.849,eleventh
4.8613,23.293,ninth
0.076903,23.019,tenth
9.843,12.498,ninth
7.7952,19.501,ninth
1.5695,7.6862,twelfth
9.0558,14.616,twelfth
1.1233,21.131,tenth
3.4666,7.0342,twelfth
3.1247,21.068,ninth
9.7969,18.616,tenth
0.37658,13.167,ninth
7.7774,22.79,ninth
0.77103,15.504,eleventh
9.8557,10.012,twelfth
1.5891,8.2199,eleventh
9.7313,26.81,twelfth
5.3471,6.218,eleventh
1.564,10.259,eleventh
2.3244,8.455,eleventh
4.5431,15.171,ninth
4.8864,5.7197,twelfth
9.0523,23.623,twelfth
6.4701,14.395,twelfth
8.7829,19.702,tenth
8.17,8.2601,eleventh
4.1631,12.473,tenth
0.64853,10.135,eleventh
7.2853,3.8443,tenth
8.127,15.026,eleventh
9.1834,27.975,ninth
8.4892,5.6382,ninth
0.62933,12.441,twelfth
8.3085,15.982,twelfth
2.8834,5.2901,eleventh
6.983,27.482,twelfth
1.3842,12.777,tenth
7.7514,6.3474,eleventh
3.1379,18.371,tenth
3.7651,24.924,twelfth
6.78,14.458,eleventh
5.549,3.2823,tenth
8.9678,9.5726,ninth
0.18942,6.8659,eleventh
7.3565,1.6612,eleventh
4.6194,22.519,twelfth
7.0069,18.426,tenth
1.4217,26.105,twelfth
5.0435,1.6579,tenth
7.9315,28.604,tenth
5.2712,9.4879,eleventh
8.927,21.848,twelfth
6.9209,5.7248,twelfth
9.856,12.644,tenth
3.2848,19.66,twelfth
4.992,13.057,ninth
5.5533,22.078,twelfth
8.5477,15.386,tenth
7.5946,20.592,twelfth
1.4902,21.912,tenth
5.8183,2.3288,tenth
2.6257,0.22437,tenth
3.1904,8.072,eleventh
9.5394,11.506,tenth
6.0835,26.739,twelfth
9.974,25.361,twelfth
4.857,8.9961,eleventh
6.6016,10.421,tenth
9.5603,5.7689,twelfth
7.7092,24.67,twelfth
7.3767,21.916,ninth
8.7445,6.6179,twelfth
8.8997,24.376,twelfth
9.0852,6.8143,eleventh
9.1581,7.7559,ninth
8.3417,4.894,eleventh
5.6818,11.543,ninth
0.52634,23.025,ninth
4.2241,0.20153,eleventh
4.1653,17.506,tenth
6.974,25.353,twelfth
7.4201,20.304,tenth
3.3363,25.181,ninth
8.4597,21.784,twelfth
4.6486,22.502,twelfth
1.2382,0.42013,twelfth
5.3972,1.3448,eleventh
9.9835,1.7783,tenth
7.0766,26.279,ninth
6.848,6.5292,eleventh
5.5655,22.872,twelfth
0.78159,13.854,ninth
9.6422,17.592,ninth
7.1663,25.448,tenth
1.7188,6.3371,twelfth
0.031127,15.026,tenth
9.0854,25.526,ninth
9.177,2.5329,tenth
4.2719,4.7201,twelfth
1.2202,28.318,twelfth
0.0297,24.537,tenth
0.2723,12.837,tenth
5.2474,12.06,eleventh
1.2448,26.864,tenth
7.4611,1.7738,ninth
7.297,14.158,eleventh
5.4578,28.568,twelfth
3.7202,17.713,ninth
0.68024,15.175,eleventh
5.9433,25.065,ninth
7.2799,7.722,twelfth
4.9433,10.203,tenth
