study_hours,test_score,grade_level
8.9041,13.417,tenth
7.1741,0.88263,twelfth
7.5981,27.65,eleventh
7.6674,25.797,twelfth
0.52307,9.659,twelfth
6.9188,19.315,ninth
5.5731,8.7447,eleventh
4.6306,23.97,eleventh
7.8743,2.8888,eleventh
9.2879,0.89144,eleventh
2.5916,9.5133,tenth
1.1925,5.5458,tenth
8.9137,24.838,ninth
6.0547,0.40811,ninth
2.0321,16.353,twelfth
1.8188,20.503,eleventh
8.6226,20.696,eleventh
8.2101,18.856,twelfth
3.2694,10.28,eleventh
6.9598,23.876,eleventh
7.2905,3.2207,ninth
8.7398,9.8706,tenth
2.512,6.9364,ninth
7.5429,7.4705,eleventh
7.1478,4.7363,tenth
0.9513,6.4503,twelfth
2.4364,18.693,eleventh
1.3003,22.09,twelfth
3.6273,10.438,eleventh
0.16644,29.341,ninth
2.6621,6.7718,ninth
7.5401,19.144,eleventh
0.89077,7.2499,ninth
9.4918,23.469,ninth
7.6989,11.272,tenth
4.0272,28.174,eleventh
7.8952,20.191,ninth
5.8627,9.0952,eleventh
8.9406,17.324,ninth
1.6185,5.7725,tenth
2.2693,16.597,twelfth
3.165,9.7288,ninth
1.5539,20.659,twelfth
6.534,10.546,tenth
8.7089,19.362,twelfth
8.5842,19.228,ninth
1.9466,2.046,eleventh
9.9061,15.316,eleventh
2.5579,12.714,ninth
4.1009,14.751,eleventh
5.9848,11.041,ninth
1.1609,17.898,tenth
9.6795,1.167,ninth
0.059747,26.618,eleventh
0.074463,19.168,tenth
3.7945,7.9164,ninth
3.0683,28.885,eleventh
7.4203,0.51208,eleventh
3.512,23.197,twelfth
5.2055,8.8743,eleventh
1.3571,3.3775,eleventh
9.1228,3.094,eleventh
0.46708,10.227,twelfth
8.0853,10.931,twelfth
3.624,29.841,eleventh
4.6302,29.97,ninth
1.1813,20.588,eleventh
6.6124,15.821,eleventh
7.8689,4.4703,tenth
1.4268,9.5846,eleventh
8.9945,10.569,twelfth
9.205,4.0445,tenth
2.8443,3.2346,twelfth
7.4588,27.393,twelfth
3.7806,12.983,twelfth
2.8586,2.4882,twelfth
4.0218,13.263,eleventh
2.2617,16.099,twelfth
8.9445,11.813,ninth
8.9159,11.218,twelfth
3.2092,1.6046,ninth
6.1669,25.323,ninth
0.36764,18.811,tenth
8.5326,12.239,tenth
1.196,14.723,ninth
7.7778,18.065,ninth
1.5371,12.092,tenth
8.2268,23.674,eleventh
9.4897,1.5655,tenth
5.6651,21.424,twelfth
4.1481,18.451,ninth
0.51903,19.323,twelfth
8.539,25.516,twelfth
8.1037,14.292,ninth
0.80388,17.523,twelfth
7.6976,9.9205,twelfth
8.0834,22.464,ninth
5.1404,9.5411,ninth
3.5786,19.021,ninth
7.1218,9.3926,tenth
2.8749,26.968,ninth
7.7743,22.677,twelfth
7.0342,12.979,ninth
2.5633,6.6787,ninth
4.2827,1.2534,tenth
2.2487,16.077,tenth
9.0269,3.429,ninth
4.3983,9.2989,ninth
0.18579,15.049,tenth
4.7464,2.2485,twelfth
7.4053,5.1417,eleventh
9.6172,15.845,eleventh
4.6464,22.001,twelfth
5.725,22.727,eleventh
7.9456,14.702,tenth
9.5578,25.391,twelfth
1.1652,16.578,tenth
2.4562,21.69,ninth
8.0862,5.8664,twelfth
8.7516,18.956,tenth
3.5412,10.727,tenth
4.813,5.608,tenth
0.012132,5.8114,ninth
9.4539,18.387,tenth
5.2992,11.894,eleventh
0.69983,11.788,tenth
4.7471,20.071,twelfth
2.963,20.799,ninth
3.0887,10.137,tenth
4.3961,22.534,eleventh
3.0666,0.61168,eleventh
4.8572,7.299,eleventh
7.8536,25.225,eleventh
2.7454,4.1015,eleventh
6.1761,24.991,eleventh
3.2229,4.7974,tenth
3.7296,5.6965,tenth
