region_index,income,sector
7.208,0.65693,Tech
9.0964,17.669,Tech
8.2475,16.219,Tech
1.7598,0.80844,Agriculture
6.6703,16.636,Manufacturing
0.70363,4.149,Tech
4.7016,26.875,Agriculture
3.6574,20.256,Tech
7.8245,6.8834,Manufacturing
5.5784,15.056,Services
1.3307,0.34023,Tech
0.35874,14.71,Manufacturing
9.3918,19.682,Tech
9.7728,12.761,Manufacturing
7.5136,11.591,Tech
4.7078,5.1997,Manufacturing
3.2137,20.553,Services
8.9283,2.1964,Services
4.8262,25.8,Services
3.1251,6.1182,Manufacturing
4.9066,21.719,Services
3.3879,7.2921,Services
4.2334,9.0785,Manufacturing
3.2297,5.5736,Tech
2.7597,16.891,Tech
1.8048,24.763,Agriculture
4.8907,21.958,Services
1.2017,20.677,Services
9.9587,12.281,Tech
2.2324,26.5,Agriculture
3.0019,27.83,Manufacturing
4.5503,3.2232,Agriculture
2.3804,11.205,Tech
0.87078,1.0718,Tech
6.3533,3.2906,Tech
9.9107,4.5573,Manufacturing
7.4539,26.233,Services
1.4981,2.8465,Tech
9.1118,19.509,Manufacturing
2.7382,8.5523,Tech
0.85888,3.868,Manufacturing
9.4765,1.8527,Manufacturing
8.182,11.619,Tech
7.2684,17.544,Agriculture
7.7684,19.398,Tech
1.6493,26.096,Services
5.3163,15.336,Agriculture
2.5403,14.658,Manufacturing
9.174,16.552,Services
6.9585,29.15,Agriculture
1.9809,1.5194,Services
9.2441,25.446,Services
7.975,6.5157,Manufacturing
0.4741,1.5756,Services
0.66995,9.3497,Manufacturing
5.4903,5.1162,Tech
8.0346,25.158,Manufacturing
2.4369,3.4809,Tech
3.7828,22.113,Agriculture
7.0003,2.7828,Services
8.0175,19.84,Agriculture
4.4023,19.141,Manufacturing
7.5237,0.95067,Tech
0.0097398,26.324,Services
5.9047,17.26,Manufacturing
4.1503,8.9656,Tech
8.1452,9.0507,Agriculture
0.31,0.29847,Tech
3.2552,3.5873,Services
9.8496,1.0348,Tech
3.3107,21.915,Services
5.3235,21.118,Manufacturing
1.9351,14.592,Agriculture
0.74987,11.541,Agriculture
3.9818,14.862,Tech
8.8199,19.586,Services
1.2265,18.246,Manufacturing
8.1083,12.171,Manufacturing
3.012,3.4608,Tech
0.69873,18.744,Manufacturing
4.5086,20.06,Agriculture
5.8167,9.381,Services
0.70538,23.71,Manufacturing
4.9972,4.6306,Services
8.1045,6.6577,Manufacturing
6.8146,1.3684,Manufacturing
7.2548,7.13,Manufacturing
5.8955,1.3397,Agriculture
9.6893,19.472,Tech
9.5126,14.778,Tech
8.5896,21.178,Agriculture
2.5175,11.659,Manufacturing
6.6936,7.387,Tech
3.5466,4.7414,Agriculture
8.0041,3.9871,Tech
4.9471,14.957,Agriculture
2.6766,10.177,Manufacturing
4.2502,25.001,Agriculture
2.3931,28.42,Agriculture
8.443,3.2327,Services
2.6435,2.6628,Services
2.1655,27.415,Manufacturing
7.5339,14.393,Services
8.5919,28.533,Services
1.962,8.6584,Tech
4.1018,1.0705,Agriculture
8.5399,24.215,Services
3.5215,3.3217,Services
4.847,7.9271,Tech
9.043,22.17,Manufacturing
4.2914,5.2849,Manufacturing
8.8495,27.914,Manufacturing
5.9533,18.377,Agriculture
3.4059,17.98,Tech
7.4021,10.203,Manufacturing
7.6959,10.282,Manufacturing
7.0848,7.6357,Tech
2.6828,13.817,Services
0.46922,9.6735,Manufacturing
0.53976,16.743,Tech
1.0758,14.05,Agriculture
0.089475,10.276,Manufacturing
1.8969,5.3688,Tech
1.2629,28.49,Agriculture
5.7153,15.775,Agriculture
8.51,16.001,Tech
4.6139,16.345,Agriculture
3.5315,6.328,Agriculture
7.8383,9.7249,Agriculture
3.9511,24.88,Services
9.7752,9.0349,Tech
3.7818,7.5189,Manufacturing
0.94821,11.991,Agriculture
5.6486,12.151,Agriculture
7.4365,4.6266,Agriculture
8.7811,10.755,Services
8.9027,25.64,Manufacturing
2.9803,15.85,Agriculture
6.7835,4.5827,Services
3.1414,29.003,Services
2.5028,22.163,Agriculture
6.6404,11.384,Manufacturing
9.6877,1.5407,Services
4.7938,1.8321,Manufacturing
3.9049,2.1533,Agriculture
2.6747,9.1087,Tech
9.1504,16.625,Services
4.3633,20.26,Tech
1.4822,29.581,Agriculture
1.7565,17.027,Manufacturing
9.7544,7.7202,Manufacturing
1.8798,2.7481,Manufacturing
1.3566,23.117,Agriculture
0.34831,16.045,Services
5.5884,27.441,Agriculture
5.1312,12.77,Tech
2.0006,24.138,Manufacturing
9.6043,10.076,Manufacturing
1.4904,14.228,Manufacturing
2.9201,23.818,Services
4.7172,19.65,Services
2.0748,13.912,Services
0.59923,23.934,Manufacturing
9.7819,14.686,Agriculture
5.0232,14.789,Manufacturing
7.5089,20.545,Manufacturing
4.6499,6.2657,Manufacturing
