study_hours,test_score,grade_level
5.2123,2.69,tenth
8.5587,15.27,ninth
8.4193,19.347,ninth
7.6361,9.6033,tenth
8.0599,20.607,tenth
8.6733,2.6056,eleventh
4.1337,17.69,eleventh
8.9247,15.014,twelfth
7.34,25.876,tenth
8.7844,26.857,twelfth
9.059,15.877,tenth
5.585,1.5294,eleventh
9.1077,17.055,eleventh
6.0899,9.035,ninth
1.8103,18.572,twelfth
9.3737,20.851,ninth
8.1709,13.683,tenth
8.1845,25.761,ninth
0.047143,14.089,twelfth
3.3037,19.033,ninth
2.1705,18.605,eleventh
2.5697,10.125,ninth
1.9766,15.708,eleventh
1.4808,6.0398,tenth
4.6207,12.181,twelfth
5.1273,25.313,tenth
8.5042,9.5954,twelfth
7.1807,18.571,eleventh
2.7088,29.065,twelfth
3.4993,27.507,twelfth
7.9837,11.682,tenth
7.2374,2.6663,twelfth
0.62059,26.975,ninth
4.9293,15.079,twelfth
9.9055,20.138,tenth
4.8231,7.972,eleventh
8.7907,4.1342,twelfth
1.4225,25.839,tenth
3.9919,6.9517,tenth
4.9565,12.882,tenth
9.9395,13.721,tenth
0.93391,17.483,eleventh
1.9776,23.562,twelfth
1.7248,18.979,eleventh
5.7353,24.56,twelfth
1.4197,17.76,tenth
0.27443,8.1499,twelfth
6.7618,12.631,ninth
3.3397,3.3844,twelfth
2.4811,17.409,eleventh
6.9703,25.627,ninth
4.2256,0.060296,eleventh
4.781,2.073,twelfth
9.682,12.187,eleventh
8.1958,25.023,tenth
7.805,17.241,eleventh
2.2699,2.174,ninth
8.4226,3.0027,ninth
6.975,21.957,tenth
4.9004,17.704,eleventh
7.4616,15.276,eleventh
5.6096,28.387,twelfth
9.3612,11.065,tenth
6.8835,26.69,tenth
4.7035,27.041,ninth
7.9067,17.984,eleventh
4.9933,19.592,twelfth
9.1414,14.781,tenth
1.9583,25.39,tenth
2.8695,17.996,eleventh
7.7449,22.839,tenth
6.281,17.166,eleventh
7.965,13.893,twelfth
7.3946,10.853,eleventh
1.3915,18.993,tenth
3.3746,16.338,tenth
0.20656,1.1339,twelfth
9.9475,9.4002,twelfth
4.2712,25.168,twelfth
3.2563,1.046,twelfth
4.7299,19.172,ninth
8.3381,13.392,ninth
9.1078,18.042,tenth
0.16241,28.476,twelfth
6.5558,22.816,tenth
6.4388,14.083,eleventh
4.9487,17.136,eleventh
5.7499,9.9283,twelfth
6.5299,14.991,tenth
8.8005,15.877,twelfth
1.0781,1.1516,ninth
9.1495,11.416,twelfth
2.242,16.678,eleventh
6.715,4.9951,twelfth
8.8865,10.211,twelfth
0.40596,14.703,eleventh
8.3169,19.003,twelfth
0.52524,0.42412,ninth
9.2658,27.451,tenth
8.91,22.66,twelfth
2.3841,21.304,twelfth
3.1992,19.612,ninth
0.11661,18.696,tenth
4.5101,0.0087269,ninth
7.2624,25.235,ninth
4.1839,25.787,ninth
8.915,16.183,eleventh
0.56146,14.384,tenth
5.9484,3.7705,ninth
5.4275,0.87791,ninth
5.8887,23.621,eleventh
1.2588,6.1406,tenth
4.1815,14.091,twelfth
0.33431,7.7209,twelfth
9.6697,14.039,twelfth
0.43012,14.075,tenth
7.4521,9.0422,twelfth
7.8007,23.561,twelfth
4.5436,11.773,ninth
0.19723,17.482,eleventh
0.19465,18.339,ninth
4.2498,17.423,eleventh
2.74,9.5288,ninth
4.4356,25.155,ninth
2.1432,21.96,twelfth
2.1313,18.029,eleventh
2.928,12.775,twelfth
3.8675,29.311,twelfth
0.63554,11.142,tenth
5.6202,19.103,ninth
3.4501,17.593,ninth
0.94459,29.567,twelfth
7.4161,16.811,twelfth
7.075,20.349,tenth
7.4805,24.102,ninth
3.6159,12.841,ninth
8.219,3.9165,tenth
8.4378,17.158,tenth
8.6161,28.516,tenth
1.8484,16.249,twelfth
9.8465,2.093,ninth
7.851,7.5614,twelfth
1.0446,13.668,tenth
4.5835,10.965,twelfth
3.9345,26.936,eleventh
9.2119,23.906,tenth
4.6609,3.9045,ninth
1.9206,22.681,tenth
5.5999,3.1914,twelfth
2.4567,27.52,tenth
1.6125,29.01,eleventh
6.7182,18.558,tenth
3.5234,25.392,tenth
3.2044,5.2455,ninth
2.1288,18.173,eleventh
5.6385,10.013,twelfth
5.1959,12.14,eleventh
7.5284,4.4593,ninth
4.9323,9.3115,twelfth
3.1294,24.283,tenth
4.3211,18.118,ninth
1.5372,25.919,twelfth
9.4995,8.7237,ninth
4.9332,13.976,ninth
6.6227,18.908,eleventh
4.095,29.822,eleventh
5.7542,9.18,twelfth
6.2309,27.707,tenth
0.90992,18.434,ninth
3.2587,8.3513,eleventh
2.1365,11.141,eleventh
8.0659,14.918,ninth
3.0505,16.282,eleventh
0.7029,15.835,eleventh
7.7647,13.415,tenth
3.2812,10.598,ninth
8.4536,16.918,eleventh
3.7457,17.485,ninth
9.4797,4.5855,twelfth
3.3063,25.149,ninth
4.3098,4.5654,ninth
0.75991,17.158,eleventh
5.9092,20.327,eleventh
6.9284,23.711,twelfth
9.0118,13.044,tenth
7.8102,15.046,twelfth
5.5421,18.154,twelfth
3.9401,15.705,eleventh
4.8779,7.9432,twelfth
9.5793,7.8181,eleventh
1.5468,23.184,ninth
2.2808,12.873,twelfth
4.6853,12.959,tenth
1.5537,27.585,twelfth
7.8995,23.984,twelfth
4.8875,18.567,eleventh
3.7614,10.137,tenth
4.0121,29.002,twelfth
3.6525,19.081,eleventh
0.58923,22.311,eleventh
1.0248,10.613,eleventh
1.5685,16.248,eleventh
3.8765,21.075,tenth
0.77335,23.412,ninth
6.9508,4.6803,ninth
0.76553,14.356,eleventh
1.2416,16.28,eleventh
2.8534,14.432,ninth
8.3377,26.673,tenth
3.3449,17.491,eleventh
1.7812,28.898,twelfth
7.9494,20.424,eleventh
2.1277,20.429,ninth
6.9123,1.9039,tenth
2.5993,22.026,tenth
7.0429,23.032,ninth
9.2441,2.5331,twelfth
2.6274,28.395,tenth
1.7288,9.0434,ninth
8.7956,15.657,ninth
3.7429,5.7874,twelfth
4.9317,12.693,eleventh
2.1431,5.3659,twelfth
0.96713,14.584,ninth
9.8421,29.779,ninth
7.2777,27.312,twelfth
7.3686,15.347,eleventh
4.8471,1.703,twelfth
4.0903,17.244,eleventh
6.9186,0.21663,eleventh
1.6724,6.0581,twelfth
0.12418,9.677,tenth
3.0827,1.1444,twelfth
5.7566,17.634,ninth
1.0778,20.616,twelfth
6.8576,4.4162,tenth
7.673,17.97,tenth
5.0896,27.242,tenth
0.87024,0.53864,ninth
3.2728,11.832,eleventh
3.2833,17.497,eleventh
6.6128,17.605,eleventh
2.9694,16.311,eleventh
1.8233,12.579,eleventh
3.1308,5.0329,ninth
7.3732,21.711,eleventh
9.9439,17.793,eleventh
0.51237,17.006,twelfth
4.8955,27.656,ninth
5.7168,14.449,twelfth
9.4052,12.363,tenth
2.424,7.2556,eleventh
9.4972,21.251,twelfth
8.7426,2.9008,twelfth
8.1689,4.1584,tenth
9.0256,27.218,tenth
4.3598,6.282,twelfth
5.7043,16.896,eleventh
5.6711,18.747,twelfth
5.8597,13.659,twelfth
8.5662,17.098,eleventh
6.6737,17.783,ninth
4.6215,6.9843,tenth
6.4288,7.6493,twelfth
5.3685,0.88746,twelfth
3.5554,28.624,ninth
8.8326,16.02,eleventh
2.8257,16.743,twelfth
1.9734,3.313,twelfth
3.0321,2.0974,ninth
9.4591,26.651,tenth
2.751,26.978,twelfth
7.1209,15.501,eleventh
7.7071,16.661,eleventh
9.2232,23.275,twelfth
8.4038,3.5782,tenth
6.8176,4.5933,twelfth
0.019436,27.377,tenth
5.2384,8.3371,ninth
3.9456,23.621,twelfth
5.9065,18.399,ninth
9.1639,0.16829,ninth
7.5794,21.405,ninth
9.9705,0.90732,eleventh
1.8281,24.465,twelfth
6.5885,28.501,tenth
0.56043,20.882,eleventh
1.8414,22.532,tenth
4.9258,24.214,ninth
1.9728,25.218,twelfth
3.7127,16.784,ninth
4.5731,14.76,twelfth
7.7147,17.395,eleventh
2.171,20.666,ninth
4.4533,10.041,twelfth
0.82208,17.467,eleventh
9.8604,29.347,ninth
2.5786,13.908,twelfth
4.2371,28.913,ninth
3.7708,15.271,twelfth
8.7557,11.498,tenth
1.7537,9.827,twelfth
6.2886,8.1695,tenth
5.2887,6.1329,ninth
1.0857,16.593,eleventh
0.56541,17.404,ninth
3.2011,18.648,twelfth
9.1568,18.358,eleventh
4.0119,18.548,ninth
0.45804,14.278,ninth
7.1505,8.2685,ninth
8.2961,17.163,eleventh
8.4531,16.621,eleventh
9.7653,16.278,eleventh
0.17943,25.094,eleventh
7.2795,10.007,ninth
7.9676,8.5139,twelfth
9.8669,17.226,eleventh
8.2064,2.5836,ninth
7.7783,8.9958,twelfth
5.5598,15.483,eleventh
3.9231,17.263,ninth
4.0221,13.97,twelfth
1.2821,12.996,twelfth
9.7421,19.403,tenth
7.8007,29.092,twelfth
9.8314,2.6983,tenth
5.5327,16.195,eleventh
0.70544,3.3365,twelfth
8.7764,14.917,eleventh
9.5461,16.845,eleventh
9.637,4.4139,tenth
6.4598,12.674,ninth
9.1305,4.3864,twelfth
2.3122,29.749,eleventh
3.3652,5.807,twelfth
8.5571,16.085,eleventh
1.3399,17.172,twelfth
9.5251,19.849,twelfth
0.59778,12.691,tenth
7.722,17.479,eleventh
3.9096,29.689,ninth
3.29,28.25,tenth
1.1625,2.1474,ninth
7.2739,28.17,twelfth
9.4189,15.841,eleventh
2.3218,23.243,twelfth
8.1941,4.8233,twelfth
4.0603,1.5426,twelfth
8.5914,27.358,eleventh
1.6731,21.419,tenth
3.82,5.2693,ninth
0.79963,12.929,twelfth
3.5397,4.0745,tenth
4.7364,22.085,eleventh
1.8841,14.18,twelfth
4.8254,22.56,eleventh
2.056,15.811,tenth
0.26553,2.9328,ninth
2.6003,0.34281,tenth
3.0049,13.608,eleventh
7.8134,27.28,ninth
3.9517,18.503,eleventh
