region_index,income,sector
1.1694,13.053,Agriculture
9.0014,11.627,Manufacturing
6.5616,20.592,Agriculture
0.47729,9.3669,Services
5.7694,18.602,Tech
9.6387,4.1906,Manufacturing
8.8881,13.092,Agriculture
9.2977,10.086,Services
0.062465,14.625,Tech
0.064833,8.3066,Tech
3.6316,4.4726,Agriculture
7.7753,6.2913,Manufacturing
7.1835,10.977,Manufacturing
9.0885,21.79,Manufacturing
1.7769,20.771,Agriculture
0.89023,22.042,Agriculture
4.8736,25.854,Tech
3.5436,0.62959,Services
2.8377,0.55999,Services
5.6069,29.445,Agriculture
6.5391,15.937,Tech
5.6432,9.9677,Tech
1.0414,24.784,Agriculture
3.796,20.556,Tech
5.2325,5.2478,Agriculture
5.6823,19.367,Tech
5.7372,0.18378,Manufacturing
0.97497,10.984,Tech
0.38832,7.9817,Manufacturing
1.7751,8.1324,Manufacturing
4.8556,27.525,Agriculture
6.0135,9.6136,Services
6.374,5.5045,Agriculture
7.6522,2.4841,Tech
6.6099,2.9654,Manufacturing
5.6982,16.481,Services
9.2885,23.92,Agriculture
5.5545,20.896,Manufacturing
1.9648,22.883,Manufacturing
6.1102,22.91,Manufacturing
6.9391,13.733,Services
5.5792,26.22,Manufacturing
8.4471,5.3542,Services
1.0776,6.0785,Services
0.6395,14.17,Agriculture
9.5827,12.282,Services
1.2525,9.3096,Agriculture
0.90744,24.763,Tech
7.5427,15.824,Services
6.5424,8.2787,Services
8.2354,4.4397,Manufacturing
8.4615,17.972,Tech
5.9671,18.175,Tech
9.1922,1.3417,Services
9.3587,21.762,Agriculture
0.37287,15.8,Services
6.0647,18.45,Services
7.826,18.318,Services
4.2241,23.273,Agriculture
9.9453,26.869,Manufacturing
4.6367,8.6103,Services
2.4497,11.845,Services
5.2412,26.697,Manufacturing
1.0358,15.703,Agriculture
8.5815,17.487,Services
7.1885,5.0535,Services
2.8856,14.88,Manufacturing
4.5867,7.4555,Manufacturing
0.75135,25.56,Agriculture
5.4014,22.827,Tech
3.6511,20.77,Agriculture
7.3062,22.93,Tech
4.4593,7.544,Tech
4.9122,8.0759,Manufacturing
2.7729,2.1415,Manufacturing
5.8797,23.335,Agriculture
2.499,11.596,Services
0.6639,1.5721,Agriculture
2.4658,10.875,Tech
6.0868,16.674,Manufacturing
9.4678,6.6719,Agriculture
1.7429,2.3629,Services
