experience,salary,department
1.1616,3.8784,Sales
3.5441,3.5643,HR
2.1511,6.5606,Marketing
0.10386,13.741,Sales
4.812,3.2374,HR
9.5434,28.524,Engineering
7.9368,23.576,Engineering
4.4797,23.554,Engineering
7.2807,2.5473,HR
3.2285,6.1671,HR
4.1543,19.855,Engineering
0.9602,0.5558,Marketing
4.1454,10.978,Engineering
5.1682,7.5438,Engineering
4.5559,13.212,Sales
0.74799,26.01,HR
1.647,0.3684,HR
7.0182,8.0645,Engineering
3.4128,29.826,HR
4.8204,14.492,Sales
1.2798,11.035,HR
7.6116,16.529,HR
4.3396,16.307,Engineering
4.318,5.2149,Engineering
8.1192,27.936,Sales
9.1595,14.261,Sales
5.2524,6.142,Sales
0.092113,20.163,Sales
0.27708,23.707,HR
0.14078,2.8902,Marketing
7.4994,5.7388,Engineering
0.83907,6.7989,Engineering
7.4472,11.397,Marketing
7.0643,9.6898,Sales
1.918,25.427,Sales
5.9271,17.44,Engineering
6.0257,18.448,Sales
6.4894,17.177,Engineering
9.9239,28.699,Sales
0.75258,19.571,Engineering
6.5857,7.1577,Sales
0.69715,3.3583,Marketing
7.5764,1.9806,Marketing
7.4914,13.708,Marketing
2.6531,6.2485,Marketing
4.5204,15.154,Sales
1.2437,4.8123,Engineering
2.8196,6.4405,Engineering
6.3891,14.015,Marketing
3.3835,27.349,Sales
1.9674,12.736,Engineering
9.0603,11.015,Sales
0.99755,9.1287,Marketing
3.788,19.101,Engineering
4.6839,4.2164,Marketing
1.9382,12.089,Engineering
3.1437,25.568,HR
2.8685,5.1324,Marketing
6.8354,25.206,HR
8.8753,13.622,Engineering
0.012332,4.3209,Marketing
2.838,12.557,Sales
5.4809,14.09,HR
8.101,19.758,Sales
8.6036,6.7663,Marketing
6.3154,22.426,HR
4.7001,11.378,Sales
6.6201,4.8002,Sales
5.2676,20.812,Sales
2.4226,10.923,Marketing
5.9824,23.352,Engineering
0.091435,5.8575,Engineering
9.6306,4.797,Sales
6.9362,21.905,Sales
9.9231,0.14246,HR
9.2802,13.94,Marketing
3.8903,27.365,HR
5.2018,7.6375,Sales
2.6527,7.4228,HR
0.40266,4.4685,Marketing
3.2819,14.769,Engineering
3.7041,2.5684,Marketing
0.74572,1.6628,Marketing
9.0039,2.0746,Engineering
1.8598,23.224,Sales
3.2192,6.4782,Marketing
0.93565,5.5253,Marketing
5.3838,26.902,Engineering
3.618,17.341,HR
4.7388,4.9553,Sales
3.6827,5.0212,Marketing
9.9792,28.151,HR
0.69671,12.93,HR
6.6969,26.919,Engineering
7.58,28.747,HR
2.5931,7.4925,Marketing
5.546,26.182,Engineering
0.44678,23.705,Sales
0.52064,28.298,Sales
1.0286,15.155,HR
9.7206,3.1071,Sales
4.469,1.7224,Marketing
2.561,21.906,Engineering
8.7694,9.3452,Sales
9.3357,23.599,Engineering
1.7305,1.2123,HR
0.46595,10.336,Marketing
2.3774,11.055,HR
6.9362,15.253,Sales
1.1088,11.521,Engineering
1.1709,12.341,Sales
2.9642,6.7641,HR
6.2728,15.223,Engineering
5.149,1.2367,Marketing
8.4032,18.281,Sales
5.8525,4.9114,Sales
4.5174,11.459,Engineering
0.47406,21.211,HR
9.4627,9.7189,HR
7.6511,13.843,Sales
8.2531,11.241,Sales
0.93838,29.342,HR
2.5953,14.794,Sales
1.4762,22.303,Sales
6.5913,13.932,Marketing
4.4876,28.962,Sales
8.1668,8.594,Sales
4.7297,15.289,Engineering
6.404,26.893,HR
3.9909,12.059,HR
3.1223,29.99,Engineering
1.5635,11.14,Marketing
2.5855,19.914,HR
3.3722,4.5629,Marketing
9.9456,4.0863,HR
4.3364,10.181,Marketing
8.9422,1.342,Marketing
2.3538,5.4517,HR
9.828,7.5106,Marketing
9.841,2.1291,Marketing
2.2718,24.091,Engineering
0.28331,8.0932,Sales
7.9189,20.981,Sales
9.7818,25.964,Engineering
0.89346,17.296,Engineering
3.2782,25.259,HR
0.096727,25.568,HR
1.794,5.458,Sales
9.1497,17.52,Sales
2.8336,6.365,HR
0.042296,8.0235,Sales
3.7154,10.577,Engineering
6.0797,28.375,Sales
1.5615,17.026,HR
8.4297,16.111,Sales
5.7484,1.7107,Marketing
9.0117,2.8379,Marketing
5.6876,0.027124,Sales
3.8912,18.593,HR
1.5448,16.279,HR
7.1291,26.575,Sales
5.8346,13.397,Sales
4.9652,18.303,Engineering
6.9285,15.579,Sales
9.6982,7.4062,HR
8.8826,12.219,Marketing
1.4063,20.763,HR
6.935,14.438,Marketing
4.1357,27.593,Sales
7.6794,15.93,Sales
3.2385,10.094,HR
1.6052,4.0075,Marketing
7.8349,11.637,Engineering
3.7759,2.853,Marketing
1.7005,16.928,HR
4.677,5.9209,Marketing
0.57617,19.525,Sales
8.6636,14.763,HR
6.646,7.4164,Marketing
8.7563,12.86,HR
2.082,4.4708,Marketing
5.633,15.279,HR
9.218,6.1515,Sales
8.835,10.08,HR
4.1973,29.577,HR
4.786,9.5762,Marketing
1.4348,16.624,HR
1.2518,12.338,Sales
7.796,7.7692,Marketing
5.4029,13.764,Sales
1.979,11.929,HR
2.8811,12.726,Marketing
6.7196,2.9349,Marketing
8.6893,12.838,Marketing
0.95552,18.777,Sales
3.3361,0.034173,Sales
4.4632,13.792,Marketing
2.55,13.374,HR
6.7176,21.368,HR
1.2677,9.6945,Marketing
6.3732,14.653,HR
5.9696,27.477,HR
8.6268,5.2168,Marketing
3.7245,3.4684,Marketing
4.4444,24.861,Engineering
6.1332,29.599,Sales
9.1691,9.62,Marketing
4.8206,8.4109,Marketing
1.8274,2.0458,Marketing
8.587,3.9598,HR
1.0336,13.342,Engineering
4.5905,24.33,HR
2.5497,7.2133,Marketing
3.9308,21.088,Sales
1.8947,2.3395,HR
6.4118,15.241,HR
4.5363,0.014729,Sales
2.5988,11.447,Marketing
2.841,14.315,Marketing
3.3606,7.6036,Marketing
7.6438,24.163,Sales
0.34056,12.834,Sales
3.5836,0.82673,Engineering
3.9374,14.688,Sales
9.6987,7.3286,Marketing
7.2092,29.679,Engineering
2.1999,7.3705,Marketing
0.85513,5.3219,Sales
3.2457,4.5234,Marketing
0.43296,17.774,Engineering
6.9481,16.905,Engineering
2.9701,7.2994,Sales
9.9912,3.5474,Marketing
7.5376,1.1435,HR
7.3009,3.9059,Engineering
3.1598,6.8112,Marketing
7.6156,2.0736,Marketing
9.4722,18.107,Engineering
3.9339,4.413,Marketing
9.4006,7.4453,Marketing
6.8226,14.562,Engineering
3.1118,2.3998,HR
0.73547,18.67,Sales
2.9396,20.97,Engineering
5.019,0.94121,HR
6.0001,3.5,Marketing
8.3246,24.427,HR
9.9582,15.395,Engineering
1.86,5.4579,HR
1.0295,4.861,Engineering
2.4751,14.053,Sales
0.76726,11.36,Engineering
2.8803,21.056,HR
8.8743,12.406,HR
0.65005,24.296,Engineering
5.956,23.53,Engineering
4.4576,8.2053,Sales
2.9085,12.525,HR
6.1431,9.3157,HR
3.3863,23.32,Engineering
7.0918,1.6801,Engineering
4.273,20.261,Engineering
9.7594,7.3765,Engineering
3.9528,4.8688,Marketing
3.5317,20.851,HR
0.34167,4.6171,Sales
2.0835,4.7185,Marketing
4.4212,1.2428,HR
2.0045,22.512,Engineering
0.26079,23.732,Sales
0.20312,10.221,Engineering
8.6777,5.391,Engineering
7.7877,14.35,Sales
4.5248,11.161,Engineering
7.7497,14.538,HR
3.0111,9.2442,Engineering
1.9227,29.821,Sales
6.5461,20.992,Engineering
8.3851,8.8403,Marketing
1.3733,14.223,Sales
6.8908,22.254,HR
4.3395,3.4199,Engineering
3.7229,3.0266,Marketing
9.909,29.421,Engineering
0.73812,22.112,HR
5.1116,13.128,Marketing
3.0903,14.118,Engineering
3.3971,14.144,Sales
6.5534,0.089363,HR
3.5458,4.4675,Marketing
5.6287,22.74,Sales
6.1594,14.004,Marketing
2.5892,23.356,HR
3.4474,17.057,HR
5.9732,7.6164,Engineering
6.245,13.316,Engineering
8.7207,17.84,HR
5.3217,25.575,HR
4.025,2.1391,Marketing
5.2468,9.8982,HR
3.9663,27.679,Sales
1.0771,0.21231,Marketing
8.2692,6.9997,Engineering
9.9353,8.6664,Sales
0.91657,9.8602,HR
3.7338,2.4937,Engineering
5.2034,21.492,Engineering
0.37009,8.3021,Sales
6.2762,14.059,Marketing
4.0004,17.727,Engineering
8.1517,28.416,Sales
4.0095,6.8553,HR
5.6866,27.763,Sales
2.0781,17.626,HR
9.2848,28.1,Engineering
5.3732,12.376,Marketing
7.52,3.9804,Marketing
5.0627,0.16275,Sales
2.8175,29.364,Engineering
8.5988,9.6077,HR
0.9144,8.7162,HR
2.1872,20.671,Sales
