study_hours,test_score,grade_level
4.13996,9.32252,ninth
8.89339,8.02732,ninth
7.08895,17.6593,ninth
5.98893,17.639,ninth
2.33715,25.6082,ninth
2.33695,20.8884,ninth
1.52919,25.5681,ninth
8.19595,15.3668,ninth
6.0092,8.45333,ninth
6.8916,10.454,ninth
1.21982,12.8948,ninth
9.05176,17.8451,ninth
7.91765,18.7393,ninth
2.8018,9.60551,ninth
2.55006,22.4261,ninth
2.56309,26.8976,ninth
3.56,9.36803,ninth
5.37924,14.6039,ninth
4.61355,23.7006,ninth
3.45264,7.27429,ninth
6.09779,16.7458,ninth
2.20082,13.9412,ninth
3.46019,25.3549,ninth
4.07249,24.5904,ninth
4.81258,21.0017,ninth
7.5277,11.4337,ninth
2.69731,24.0397,ninth
5.29243,19.3874,ninth
5.93742,10.0869,ninth
1.43322,27.7718,ninth
6.06225,7.659,ninth
2.45682,20.6048,ninth
1.58668,15.8765,ninth
8.87831,8.16035,ninth
9.01646,7.54063,ninth
7.71928,13.2794,ninth
3.56306,13.1124,ninth
1.85579,23.9306,ninth
6.69492,7.96642,ninth
4.68126,8.32755,ninth
2.05682,20.6872,ninth
5.13521,20.7329,ninth
1.33371,14.5378,ninth
8.55189,9.87854,ninth
3.18493,25.2971,ninth
6.51581,16.7105,ninth
3.62162,12.1101,ninth
5.34056,8.31071,ninth
5.56036,20.1617,ninth
2.57505,11.6372,ninth
9.04907,13.9801,ninth
7.44485,10.1975,ninth
8.80087,15.7407,ninth
8.43233,13.2539,ninth
5.98267,22.1384,ninth
8.65546,7.91712,ninth
1.78006,25.1024,ninth
2.66686,16.3862,ninth
1.42313,19.777,ninth
3.73398,17.1273,ninth
4.25659,23.6388,ninth
3.28863,26.0569,ninth
7.88708,14.5244,ninth
3.99321,18.6354,ninth
3.36771,16.2503,ninth
5.52724,17.1479,ninth
2.21262,13.9839,ninth
7.66813,7.24159,ninth
1.66504,17.6127,ninth
9.19182,8.7499,ninth
7.42102,8.11132,ninth
2.6894,12.8205,ninth
1.09556,15.0311,ninth
7.77756,8.35871,ninth
6.88157,19.7996,ninth
7.06431,11.4955,ninth
7.41298,8.68716,ninth
1.66087,24.3574,ninth
4.00734,11.771,ninth
2.00592,26.6194,ninth
8.1706,13.8301,ninth
6.19221,9.01003,ninth
3.77991,14.7476,ninth
1.57436,26.5817,ninth
3.6156,23.7608,ninth
3.73276,16.6316,ninth
7.06925,15.7668,ninth
6.30985,7.73966,ninth
8.36951,17.9927,ninth
4.94577,11.5899,ninth
2.03665,27.3591,ninth
6.93427,14.7077,ninth
7.32648,11.4938,ninth
5.68054,14.2651,ninth
7.41048,9.17957,ninth
5.12381,9.79414,ninth
5.36255,10.4367,ninth
4.57721,12.7916,ninth
1.25971,26.4849,ninth
1.9401,17.3367,ninth
1.30929,12.9501,ninth
6.30039,20.5285,ninth
3.64344,24.1705,ninth
5.24571,21.5794,ninth
8.53742,17.9583,ninth
3.10666,13.4458,ninth
4.43566,12.4843,ninth
7.2833,16.9162,ninth
2.93758,23.1201,ninth
1.68508,13.6892,ninth
3.44045,20.3271,ninth
2.38008,13.2341,ninth
8.72001,9.39702,ninth
7.71699,10.8285,ninth
6.27558,13.0228,ninth
8.23955,10.1711,ninth
7.68029,9.216,ninth
2.5892,26.0317,ninth
8.41361,8.89359,ninth
5.49957,8.9722,ninth
7.71138,16.7269,ninth
8.44275,16.0976,ninth
3.67353,25.2637,ninth
1.95793,24.7988,ninth
2.93047,22.2778,ninth
4.57364,18.0751,ninth
7.79862,8.42814,ninth
8.15103,7.31435,ninth
1.10736,19.199,ninth
5.26367,9.85144,ninth
4.49364,18.4021,ninth
2.88239,18.4165,ninth
2.03889,10.5258,ninth
3.83533,12.9307,ninth
8.82901,11.1118,ninth
3.71642,9.34851,ninth
5.33002,20.758,ninth
6.84991,11.2112,ninth
4.04994,16.5456,ninth
9.0672,9.0744,ninth
8.99019,14.9968,ninth
3.1272,13.3463,ninth
5.1523,17.7431,ninth
3.53225,20.548,ninth
3.39993,11.8608,ninth
1.35432,26.6041,ninth
6.07891,18.8412,ninth
5.1971,17.3815,ninth
1.4747,27.1363,ninth
3.34883,24.5366,ninth
8.54319,13.3506,ninth
3.02639,25.2638,ninth
2.24538,23.1902,ninth
5.08799,17.4454,ninth
9.18162,10.7358,ninth
3.04696,24.661,ninth
6.59512,7.55355,ninth
7.33336,16.5044,ninth
3.01051,25.9136,ninth
7.05778,8.66365,ninth
4.08421,19.3924,ninth
6.26652,8.74508,ninth
6.27662,8.93709,ninth
5.47014,18.1416,ninth
1.79489,14.1731,ninth
7.94125,15.7754,ninth
3.69644,23.5992,ninth
2.58878,18.1938,ninth
1.38639,12.2802,ninth
5.92487,8.97818,ninth
6.63991,14.9441,ninth
1.18685,30.2759,ninth
5.27477,15.4369,ninth
2.91859,15.022,ninth
6.37268,14.1591,ninth
2.48852,20.4355,ninth
6.75024,17.2503,ninth
4.24057,11.0105,ninth
8.77802,12.8845,ninth
2.18455,19.5671,ninth
3.8638,24.8062,ninth
1.98616,16.358,ninth
8.67872,11.9638,ninth
8.28805,15.0929,ninth
3.17802,9.19854,ninth
6.49487,18.779,ninth
7.79208,14.5898,ninth
5.63041,7.87859,ninth
5.41962,10.2417,ninth
3.04528,21.3795,ninth
1.8181,12.1395,ninth
8.45203,11.8609,ninth
8.47845,9.36668,ninth
6.27309,15.0157,ninth
3.847,9.51669,ninth
3.93098,23.6746,ninth
7.03913,20.0499,ninth
8.45116,18.6301,ninth
8.36846,10.3742,ninth
7.48397,8.35417,ninth
6.34676,16.2964,ninth
1.74415,9.20992,ninth
2.38344,10.9297,ninth
8.46307,7.44289,ninth
6.05304,12.5438,ninth
1.12588,26.9866,ninth
1.88714,24.9642,ninth
6.52389,12.7469,ninth
1.09176,18.9249,ninth
2.37667,28.7679,ninth
5.57705,12.4539,ninth
6.75814,8.96202,ninth
6.42868,7.73872,ninth
2.90022,22.367,ninth
6.92548,17.577,ninth
3.0073,12.6599,ninth
3.73455,9.33781,ninth
7.20855,14.9331,ninth
6.40947,15.1635,ninth
8.05609,7.58822,ninth
6.47531,19.5906,ninth
5.73855,7.3804,ninth
1.82282,17.7265,ninth
4.08366,22.5369,ninth
3.23792,15.3407,ninth
3.06291,20.2552,ninth
9.07734,8.67877,ninth
4.29306,10.8981,ninth
8.40938,16.0814,ninth
6.25689,10.8479,ninth
7.60719,15.6582,ninth
5.19676,10.3656,ninth
5.80946,8.24661,ninth
5.11327,9.35298,ninth
2.66075,20.8232,ninth
7.01023,8.07778,ninth
3.36637,24.251,ninth
1.25061,21.8981,ninth
6.37515,18.5634,ninth
2.51116,13.1865,ninth
8.80878,14.8469,ninth
8.91991,14.0063,ninth
8.59763,13.8818,ninth
4.10381,21.4066,ninth
1.17752,25.2069,ninth
8.70863,9.88443,ninth
4.58252,9.97313,ninth
9.0249,7.52405,ninth
8.99986,17.9478,ninth
8.08733,11.6113,ninth
3.4792,21.6125,ninth
4.22706,13.7521,ninth
8.07188,7.86328,ninth
3.66461,8.17393,ninth
2.44832,22.4726,ninth
5.64361,12.9392,ninth
8.77328,8.35549,ninth
6.79225,12.6263,ninth
5.753,7.50809,ninth
1.85171,21.4398,ninth
6.12381,10.5739,ninth
9.21794,14.1665,ninth
2.20569,15.4731,ninth
5.32622,12.2271,ninth
8.28833,7.17066,ninth
7.16134,7.88832,ninth
6.80038,9.50182,ninth
6.84549,10.0707,ninth
4.0158,17.8897,ninth
3.47213,13.4787,ninth
7.72723,13.4135,ninth
7.73344,15.8657,ninth
8.20335,14.6342,ninth
8.58423,9.09305,ninth
5.26857,12.5375,ninth
5.18751,8.91139,ninth
7.63594,7.21911,ninth
6.4122,21.108,ninth
6.84123,8.09796,ninth
7.61529,10.6166,ninth
8.39254,12.3555,ninth
3.83846,20.526,ninth
4.14856,16.3684,ninth
1.82535,11.4409,ninth
5.82081,8.79705,ninth
1.34652,21.0639,ninth
4.89118,7.35615,ninth
5.52682,10.8358,ninth
3.41397,8.6751,ninth
5.92437,8.85782,ninth
1.30163,18.1744,ninth
1.35812,14.0961,ninth
7.83645,11.4025,ninth
4.02157,18.4146,ninth
2.09825,26.3141,ninth
5.35851,7.61301,ninth
7.40245,9.29326,ninth
2.83052,11.5813,ninth
6.18885,14.3713,ninth
1.75412,25.7947,ninth
1.47637,10.5385,ninth
5.43368,22.8815,ninth
5.51024,9.36688,ninth
6.3088,12.4333,ninth
7.04025,16.7318,ninth
9.10078,14.3034,ninth
5.30948,18.3299,ninth
3.71439,22.4836,ninth
7.61029,7.31392,ninth
